YEAR,TEAM NO 1,TEAM 1,SEED 1,TEAM NO 2,TEAM 2,SEED 2,CURRENT ROUND,kp_pre_PRESEASON KADJ EM_DIFF,rppf_RADJ EM_DIFF,kp_pre_KADJ EM CHANGE_DIFF,rppf_pre_RPPF RATING CHANGE RANK_DIFF,kp_pre_PRESEASON KADJ O_DIFF,z_SEED LIST_DIFF,bart_TALENT_DIFF,ap_AP VOTES_DIFF,bart_BADJ O_DIFF,rppf_RADJ O_DIFF,shoot_FARTHER TWOS FG%_DIFF,teamrank_CONSISTENCY TR RATING_DIFF,SEED DIFF,bart_WAB_DIFF,TEAM 1 WIN
2026,1207,Duke,1,1168,Siena,16,64,30.79,42.5,10.2,-138,17.8,-62,87.283,,22.6,21.9,-4,2.4,-15,13.1,1
2026,1176,Ohio St.,8,1164,TCU,9,64,8,5,-3.34,52,8.7,-3,18.595,-12,5.4,8.6,8.5,-1.2,-1,-1.3,0
2026,1165,St. John's,5,1177,Northern Iowa,12,64,19.24,14.4,-5.14,98,9.6,-31,50.21,,13.7,10.6,-6,0,-7,7.5,1
2026,1193,Kansas,4,1210,Cal Baptist,13,64,24.8,18.7,-6.35,174,9.8,-36,56.372,,6.5,11.2,-4,1.8,-9,6,1
2026,1188,Louisville,6,1166,South Florida,11,64,17.57,9,-8.53,52,13.1,-23,8.292,,9.3,6.5,8.5,2,-5,1.7,1
2026,1183,Michigan St.,3,1178,North Dakota St.,14,64,25.42,24,-2.24,111,10,-46,68.594,,10.2,12.7,-0.4,-0.6,-11,6.6,1
2026,1156,UCLA,7,1157,UCF,10,64,12.32,7.4,-5.7,126,6.5,-10,28.185,31,7.4,3.3,2.9,0,-3,-2.1,1
2026,1208,Connecticut,2,1205,Furman,15,64,26.77,30.4,3.08,-97,14.6,-55,72.72,,15.2,14.9,-5.4,2.6,-13,11,1
2026,1206,Florida,1,1190,Lehigh,16,64,40.72,45.7,3.44,-117,24.1,-63,40.863,,26,24.1,2,2.9,-15,14.1,
2026,1206,Florida,1,1174,Prairie View A&M,16,64,42.57,46.6,1.92,79,25.7,-64,41.458,,22.4,26.3,5.8,1.5,-15,15.3,1
2026,1209,Clemson,8,1195,Iowa,9,64,3.6,-3.1,-6.8,4,1.2,-7,29.591,6,-5.1,-5.2,1.8,-2.1,-1,3.62,0
2026,1153,Vanderbilt,5,1187,McNeese St.,12,64,14.82,15.8,0.21,-5,9.1,-30,-12.518,537,15.9,13.3,1,2.2,-7,5.5,1
2026,1181,Nebraska,4,1158,Troy,13,64,12.33,25,12.11,-80,9.6,-40,42.258,,11.5,8.6,-2.4,-0.9,-9,8.7,1
2026,1180,North Carolina,6,1152,VCU,11,64,5.53,3.9,-1.89,72,7.5,-23,42.718,476,0.1,1.8,-1.2,2.5,-5,-1.7,0
2026,1196,Illinois,3,1175,Penn,14,64,35.34,31.4,-4.71,133,17.1,-46,45.864,,22.8,24.5,2.9,2.4,-11,10.1,1
2026,1170,Saint Mary's,7,1160,Texas A&M,10,64,-4.2,4.3,8.6,-60,-3,-14,7.448,110,-2.7,-0.6,-0.8,-3.4,-3,-0.5,0
2026,1199,Houston,2,1197,Idaho,15,64,37.69,33.1,-5.79,123,15.5,-55,81.768,,18.1,16.6,1.9,-0.5,-13,11.3,1
2026,1213,Arizona,1,1189,LIU Brooklyn,16,64,32.9,43.3,8.71,-62,21.8,-62,73.306,,24.9,23.8,3.9,-0.3,-15,15.3,1
2026,1151,Villanova,8,1154,Utah St.,9,64,-2.08,-0.9,1.29,45,-4.4,-3,37.292,-18,-3.1,-1.7,-1.7,-3.6,-1,1,0
2026,1149,Wisconsin,5,1201,High Point,12,64,15.04,16.5,-0.05,-2,6.3,-30,24.714,378,8.8,9.7,4.4,0.4,-7,4.2,0
2026,1212,Arkansas,4,1202,Hawaii,13,64,15.3,21.6,4.78,7,9.2,-38,71.277,,16.9,21.9,-3.2,0.2,-9,5.5,1
2026,1211,BYU,6,1179,North Carolina St.,11,64,4.53,4,-0.88,72,6.2,-17,-14.256,60,-4.4,1.5,8.3,-2.2,-5,1.8,
2026,1211,BYU,6,1161,Texas,11,64,4.93,4.5,-0.72,30,7.2,-18,-7.019,50,-1.4,1.3,0.6,0.7,-5,2.6,0
2026,1203,Gonzaga,3,1192,Kennesaw St.,14,64,25.04,27.9,2.49,-156,13.9,-47,23.539,,15.9,11.2,13.6,3,-11,10.5,1
