YEAR,TEAM NO 1,TEAM 1,SEED 1,TEAM NO 2,TEAM 2,SEED 2,CURRENT ROUND,kp_pre_PRESEASON KADJ EM_DIFF,rppf_RADJ EM_DIFF,kp_pre_KADJ EM CHANGE_DIFF,rppf_pre_RPPF RATING CHANGE RANK_DIFF,kp_pre_PRESEASON KADJ O_DIFF,z_SEED LIST_DIFF,bart_TALENT_DIFF,ap_AP VOTES_DIFF,bart_BADJ O_DIFF,rppf_RADJ O_DIFF,shoot_FARTHER TWOS FG%_DIFF,teamrank_CONSISTENCY TR RATING_DIFF,SEED DIFF,bart_WAB_DIFF,TEAM 1 WIN,WIN ALL FIVE PRIOR 1,WIN ALL FIVE PRIOR 2
2026,1207,Duke,1,1168,Siena,16,64,30.79,42.5,10.2,-138,17.799999999999997,-62,87.283,,22.60000000000001,21.90000000000001,-4.0,2.4000000000000004,-15,13.1,,1,0
2026,1176,Ohio St.,8,1164,TCU,9,64,7.999999999999998,5.0,-3.34,52,8.700000000000003,-3,18.595,-12.0,5.400000000000006,8.599999999999994,8.5,-1.1999999999999993,-1,-1.3000000000000005,,0,0
2026,1165,St. John's,5,1177,Northern Iowa,12,64,19.24,14.4,-5.140000000000001,98,9.600000000000009,-31,50.21000000000001,,13.699999999999989,10.599999999999994,-6.0,0.0,-7,7.5,,1,1
2026,1193,Kansas,4,1210,Cal Baptist,13,64,24.8,18.700000000000003,-6.35,174,9.799999999999995,-36,56.372,,6.5,11.200000000000005,-4.0,1.8000000000000007,-9,6.0,,0,1
2026,1188,Louisville,6,1166,South Florida,11,64,17.57,9.0,-8.53,52,13.099999999999994,-23,8.291999999999998,,9.299999999999995,6.5,8.5,2.0,-5,1.6999999999999995,,0,1
2026,1183,Michigan St.,3,1178,North Dakota St.,14,64,25.42,24.0,-2.24,111,10.0,-46,68.594,,10.200000000000005,12.700000000000005,-0.3999999999999986,-0.5999999999999996,-11,6.6,,0,0
2026,1156,UCLA,7,1157,UCF,10,64,12.32,7.400000000000002,-5.699999999999999,126,6.5,-10,28.18500000000001,31.0,7.399999999999991,3.299999999999997,2.8999999999999986,0.0,-3,-2.1,,0,0
2026,1208,Connecticut,2,1205,Furman,15,64,26.77,30.4,3.08,-97,14.599999999999994,-55,72.72,,15.199999999999989,14.900000000000006,-5.399999999999999,2.6,-13,11.0,,0,0
2026,1206,Florida,1,1190,Lehigh,16,64,40.72,45.7,3.44,-117,24.099999999999994,-63,40.863,,26.0,24.10000000000001,2.0,2.9000000000000004,-15,14.1,,0,1
2026,1206,Florida,1,1174,Prairie View A&M,16,64,42.57,46.6,1.92,79,25.700000000000003,-64,41.458,,22.40000000000001,26.3,5.800000000000004,1.5,-15,15.3,,0,1
2026,1209,Clemson,8,1195,Iowa,9,64,3.6000000000000014,-3.099999999999998,-6.8,4,1.2000000000000028,-7,29.591,6.0,-5.1000000000000085,-5.200000000000003,1.7999999999999972,-2.1,-1,3.62,,0,0
2026,1153,Vanderbilt,5,1187,McNeese St.,12,64,14.82,15.8,0.2099999999999999,-5,9.100000000000009,-30,-12.518,537.0,15.900000000000006,13.299999999999995,1.0,2.1999999999999997,-7,5.5,,0,1
2026,1181,Nebraska,4,1158,Troy,13,64,12.330000000000002,25.0,12.11,-80,9.600000000000009,-40,42.258,,11.5,8.600000000000009,-2.3999999999999986,-0.9000000000000004,-9,8.7,,0,0
2026,1180,North Carolina,6,1152,VCU,11,64,5.529999999999998,3.899999999999999,-1.89,72,7.5,-23,42.718,476.0,0.1000000000000085,1.8000000000000114,-1.2000000000000028,2.500000000000001,-5,-1.7,,0,1
2026,1196,Illinois,3,1175,Penn,14,64,35.34,31.4,-4.71,133,17.099999999999994,-46,45.864,,22.8,24.5,2.8999999999999986,2.3999999999999986,-11,10.1,,0,1
2026,1170,Saint Mary's,7,1160,Texas A&M,10,64,-4.199999999999999,4.300000000000001,8.6,-60,-3.0,-14,7.447999999999997,110.0,-2.700000000000003,-0.6000000000000085,-0.7999999999999972,-3.4000000000000004,-3,-0.5000000000000002,,0,0
2026,1199,Houston,2,1197,Idaho,15,64,37.69,33.1,-5.79,123,15.5,-55,81.768,,18.099999999999994,16.599999999999994,1.8999999999999984,-0.5,-13,11.3,,0,1
2026,1213,Arizona,1,1189,LIU Brooklyn,16,64,32.9,43.3,8.709999999999999,-62,21.8,-62,73.306,,24.89999999999999,23.80000000000001,3.899999999999999,-0.3000000000000007,-15,15.3,,1,1
2026,1151,Villanova,8,1154,Utah St.,9,64,-2.08,-0.8999999999999986,1.29,45,-4.399999999999992,-3,37.292,-18.0,-3.1000000000000085,-1.7000000000000028,-1.7000000000000028,-3.6,-1,1.0,,0,0
2026,1149,Wisconsin,5,1201,High Point,12,64,15.04,16.5,-0.05,-2,6.299999999999997,-30,24.714,378.0,8.799999999999997,9.700000000000005,4.400000000000006,0.4000000000000003,-7,4.2,,0,1
2026,1212,Arkansas,4,1202,Hawaii,13,64,15.299999999999995,21.6,4.779999999999999,7,9.200000000000005,-38,71.277,,16.900000000000006,21.90000000000001,-3.200000000000003,0.1999999999999993,-9,5.5,,1,0
2026,1211,BYU,6,1179,North Carolina St.,11,64,4.530000000000001,4.0,-0.88,72,6.200000000000003,-17,-14.256,60.0,-4.400000000000006,1.5,8.299999999999997,-2.200000000000001,-5,1.7999999999999998,,0,0
2026,1211,BYU,6,1161,Texas,11,64,4.93,4.5,-0.72,30,7.200000000000003,-18,-7.0190000000000055,50.0,-1.4000000000000057,1.3000000000000114,0.6000000000000014,0.6999999999999993,-5,2.6,,0,0
2026,1203,Gonzaga,3,1192,Kennesaw St.,14,64,25.04,27.9,2.49,-156,13.900000000000006,-47,23.539,,15.900000000000006,11.200000000000005,13.6,3.0,-11,10.5,,0,0
2026,1186,Miami FL,7,1182,Missouri,10,64,-9.26,5.299999999999999,14.55,-167,-7.800000000000011,-12,14.382000000000003,108.0,2.700000000000003,2.0,5.100000000000001,-2.6000000000000014,-3,4.63,,0,0
2026,1173,Purdue,2,1172,Queens,15,64,34.129999999999995,34.2,-1.4900000000000002,78,19.700000000000003,-54,50.292,,22.69999999999999,16.39999999999999,1.5999999999999943,1.8999999999999984,-13,13.7,,0,0
2026,1184,Michigan,1,1198,Howard,16,64,36.0,41.7,4.780000000000001,43,16.39999999999999,-62,69.652,,26.700000000000003,24.3,2.299999999999997,1.0,-15,14.4,,0,1
2026,1184,Michigan,1,1155,UMBC,16,64,34.77,39.9,4.49,20,14.799999999999995,-63,62.054,,18.0,19.599999999999994,-1.1000000000000014,0.8000000000000007,-15,14.1,,0,1
2026,1204,Georgia,8,1171,Saint Louis,9,64,4.84,2.5,-2.68,74,2.9000000000000057,-3,39.107,7.0,9.5,5.300000000000011,3.200000000000003,-0.3000000000000007,-1,2.1,,0,0
