INPUT_TEAM,INPUT_TEAM_NO,TEAM,TEAM NO,SEED,kp_pre_PRESEASON KADJ EM,rppf_RADJ EM,kp_pre_KADJ EM CHANGE,kp_pre_PRESEASON KADJ O,bart_TALENT,bart_BADJ O,rppf_RADJ O,shoot_FARTHER TWOS FG%,teamrank_CONSISTENCY TR RATING,bart_WAB
Duke,1027,Duke,1207,1,26.38,39.9,12.52,120.5,91.161,128.149,128.5,40.5,11.1,13.7
St. John's,1165,St. John's,1165,5,23.48,26.7,2.43,116.4,70.084,119.836,120.6,37.0,10.7,7.3
Michigan St,1183,Michigan St.,1183,3,20.71,29.0,7.6,114.3,68.794,122.89,124.2,39.7,10.8,7.4
Connecticut,1208,Connecticut,1208,2,28.38,28.1,-0.51,121.3,84.266,123.091,122.0,43.2,11.4,8.8
Iowa,1195,Iowa,1195,9,16.27,22.7,6.17,114.1,14.299,122.131,121.7,42.6,10.4,1.9
Nebraska,1181,Nebraska,1181,4,15.21,26.4,10.95,114.2,42.458,117.254,118.7,35.0,10.6,7.5
Illinois,1196,Illinois,1196,3,26.82,33.0,5.28,120.5,63.056,131.949,132.0,38.9,11.2,6.6
Houston,1199,Houston,1199,2,31.13,34.2,2.3,119.5,81.968,125.376,125.0,40.4,9.6,9.0
Arizona,1213,Arizona,1213,1,23.87,38.6,13.79,118.6,73.506,126.933,128.8,43.8,8.0,13.7
Arkansas,1212,Arkansas,1212,4,20.08,27.0,5.97,115.0,80.525,127.944,129.3,34.8,12.0,7.5
Texas,1161,Texas,1161,11,18.16,19.3,0.88,113.7,55.968,124.057,125.1,42.4,10.5,-0.21
Purdue,1173,Purdue,1173,2,29.15,32.2,2.05,124.5,59.3,133.288,132.2,45.3,12.2,9.2
Michigan,1184,Michigan,1184,1,24.63,38.3,12.97,116.6,69.852,127.634,127.6,40.4,12.3,14.0
Alabama,1214,Alabama,1214,4,21.05,26.5,4.67,117.1,73.555,129.499,130.2,44.9,9.6,6.5
Tennessee,1163,Tennessee,1163,6,25.04,26.5,0.98,115.3,59.748,121.507,121.2,37.1,8.3,4.1
Iowa St.,1194,Iowa St.,1194,2,24.15,33.3,8.27,113.7,50.469,123.777,124.2,38.6,12.1,7.4
