YEAR,WEEK,TEAM NO,TEAM,SEED,ROUND,W,L,AP VOTES,AP RANK,RANK?
2026,1,1173,Purdue,2,0,0,0,1485,1,1
2026,1,1199,Houston,2,0,0,0,1459,2,1
2026,1,1206,Florida,1,0,0,0,1382,3,1
2026,1,1208,Connecticut,2,0,0,0,1299,4,1
2026,1,1165,St. John's,5,0,0,0,1203,5,1
2026,1,1207,Duke,1,0,0,0,1123,6,1
2026,1,1184,Michigan,1,0,0,0,1084,7,1
2026,1,1211,BYU,6,0,0,0,1078,8,1
2026,1,1191,Kentucky,7,0,0,0,1056,9,1
2026,1,1159,Texas Tech,5,0,0,0,1015,10,1
2026,1,1188,Louisville,6,0,0,0,966,11,1
2026,1,1156,UCLA,7,0,0,0,741,12,1
2026,1,1213,Arizona,1,0,0,0,715,13,1
2026,1,1212,Arkansas,4,0,0,0,695,14,1
2026,1,1214,Alabama,4,0,0,0,620,15,1
2026,1,1194,Iowa St.,2,0,0,0,616,16,1
2026,1,1196,Illinois,3,0,0,0,567,17,1
2026,1,1163,Tennessee,6,0,0,0,462,18,1
2026,1,1193,Kansas,4,0,0,0,453,19,1
2026,1,,Auburn,,,0,0,424,20,1
2026,1,1203,Gonzaga,3,0,0,0,387,21,1
2026,1,1183,Michigan St.,3,0,0,0,188,22,1
2026,1,,Creighton,,,0,0,158,23,1
2026,1,1149,Wisconsin,5,0,0,0,136,24,1
2026,1,1180,North Carolina,6,0,0,0,104,25,1
2026,1,,Maryland,,,,,0,46,0
2026,1,1160,Texas A&M,10,0,,,0,46,0
2026,1,1209,Clemson,8,0,,,0,46,0
2026,1,,Memphis,,,,,0,46,0
2026,1,,Mississippi,,,,,11,32,0
2026,1,1170,Saint Mary's,7,0,,,2,40,0
2026,1,,Baylor,,,,,1,43,0
2026,1,,Boise St.,,,,,4,38,0
2026,1,,Indiana,,,,,1,43,0
2026,1,1195,Iowa,9,0,,,6,37,0
2026,1,,Kansas St.,,,,,13,31,0
2026,1,,Mississippi St.,,,,,3,39,0
2026,1,1182,Missouri,10,0,,,8,34,0
2026,1,1179,North Carolina St.,11,0,,,101,26,0
2026,1,1176,Ohio St.,8,0,,,23,30,0
2026,1,,Oklahoma,,,,,1,43,0
2026,1,,Oregon,,,,,98,27,0
2026,1,,San Diego St.,,,,,74,28,0
2026,1,1161,Texas,11,0,,,35,29,0
2026,1,,USC,,,,,10,33,0
2026,1,1153,Vanderbilt,5,0,,,7,35,0
2026,1,1152,VCU,11,0,,,2,40,0
2026,1,1150,Virginia,3,0,,,2,40,0
2026,1,,Washington,,,,,7,35,0
2026,2,1199,Houston,2,0,2,0,1462,1,1
2026,2,1173,Purdue,2,0,2,0,1459,2,1
2026,2,1208,Connecticut,2,0,2,0,1361,3,1
2026,2,1207,Duke,1,0,2,0,1223,4,1
2026,2,1213,Arizona,1,0,2,0,1204,5,1
2026,2,1184,Michigan,1,0,1,0,1121,6,1
2026,2,1211,BYU,6,0,2,0,1111,7,1
2026,2,1214,Alabama,4,0,2,0,1087,8,1
2026,2,1191,Kentucky,7,0,2,0,1072,9,1
2026,2,1206,Florida,1,0,1,1,990,10,1
2026,2,1159,Texas Tech,5,0,2,0,969,11,1
2026,2,1188,Louisville,6,0,2,0,856,12,1
2026,2,1165,St. John's,5,0,1,1,812,13,1
2026,2,1196,Illinois,3,0,2,0,610,14,1
2026,2,1156,UCLA,7,0,2,0,609,15,1
2026,2,1194,Iowa St.,2,0,2,0,605,16,1
2026,2,1183,Michigan St.,3,0,2,0,557,17,1
2026,2,1180,North Carolina,6,0,2,0,494,18,1
2026,2,1203,Gonzaga,3,0,2,0,466,19,1
2026,2,1163,Tennessee,6,0,2,0,456,20,1
2026,2,1212,Arkansas,4,0,1,1,324,21,1
2026,2,,Auburn,,,2,0,207,22,1
2026,2,,Creighton,,,1,0,153,23,1
2026,2,1149,Wisconsin,5,0,2,0,140,24,1
2026,2,1193,Kansas,4,0,1,1,130,25,1
2026,2,1209,Clemson,8,0,,,0,46,0
2026,2,1170,Saint Mary's,7,0,,,0,46,0
2026,2,1150,Virginia,3,0,,,0,46,0
2026,2,,Baylor,,,,,14,32,0
2026,2,,Georgetown,,,,,1,39,0
2026,2,1204,Georgia,8,0,,,2,38,0
2026,2,,Indiana,,,,,45,28,0
2026,2,1195,Iowa,9,0,,,1,39,0
2026,2,,Kansas St.,,,,,5,34,0
2026,2,,Mississippi,,,,,4,35,0
2026,2,,Mississippi St.,,,,,3,37,0
2026,2,1182,Missouri,10,0,,,4,35,0
2026,2,1179,North Carolina St.,11,0,,,87,26,0
2026,2,1176,Ohio St.,8,0,,,17,31,0
2026,2,,Oklahoma St.,,,,,1,39,0
2026,2,,Oregon,,,,,43,29,0
2026,2,,San Diego St.,,,,,67,27,0
2026,2,,Stanford,,,,,1,39,0
2026,2,1161,Texas,11,0,,,1,39,0
2026,2,,USC,,,,,12,33,0
2026,2,1154,Utah St.,9,0,,,1,39,0
2026,2,1153,Vanderbilt,5,0,,,37,30,0
2026,2,,Virginia Tech,,,,,1,39,0
2026,3,1173,Purdue,2,0,4,0,1502,1,1
2026,3,1199,Houston,2,0,4,0,1457,2,1
2026,3,1208,Connecticut,2,0,4,0,1389,3,1
2026,3,1213,Arizona,1,0,4,0,1314,4,1
2026,3,1207,Duke,1,0,4,0,1277,5,1
2026,3,1188,Louisville,6,0,4,0,1161,6,1
2026,3,1184,Michigan,1,0,3,0,1103,7,1
2026,3,1196,Illinois,3,0,4,0,1017,8,1
2026,3,1211,BYU,6,0,3,1,972,9,1
2026,3,1206,Florida,1,0,3,1,949,10,1
2026,3,1214,Alabama,4,0,2,1,928,11,1
