YEAR,TEAM NO,TEAM,SEED,ROUND,O RATE,D RATE,RELATIVE RATING,OPPONENT ADJUST,PACE ADJUST,O RATE RANK,D RATE RANK,TRUE TEMPO,TRUE TEMPO RANK,INJURY RANK,HOME RANK,ROSTER RANK,KILLSHOTS PER GAME,KILL SHOTS CONCEDED PER GAME,KILLSHOTS MARGIN,TOTAL KILL SHOTS,TOTAL KILL SHOTS CONCEDED,RELATIVE RATING RANK,OPPONENT ADJUST RANK,PACE ADJUST RANK,KILLSHOTS PER GAME RANK,KILL SHOTS CONCEDED PER GAME RANK,KILLSHOTS MARGIN RANK,TOTAL KILL SHOTS RANK,TOTAL KILL SHOTS CONCEDED RANK
2026,1215,Akron,12,0,8.220466052,2.990778503,11.21124456,-21.10410264,-9.708647321,51,99,71.40827,29,59,248,74,0.78125,0.21875,0.5625,25,7,61,264,229,26,19,18,29,23
2026,1214,Alabama,4,0,17.28740381,5.920505263,23.20790907,-51.09961595,16.19329549,5,54,74.3346,2,17,183,15,0.4375,0.40625,0.03125,14,13,17,341,94,198,131,163,197,157
2026,1213,Arizona,1,0,15.56147732,16.48353715,32.04501447,57.13211154,-3.548763844,10,4,71.438485,28,3,30,5,1,0.058823529,0.941176471,34,2,3,16,200,11,1,2,8,2
2026,1212,Arkansas,4,0,17.11457705,6.709381875,23.82395893,-21.20081445,5.031103264,6,43,71.524115,27,15,61,11,0.852941176,0.264705882,0.588235294,29,9,15,267,159,19,37,16,18,59
2026,1211,BYU,6,0,9.924997579,6.661667488,16.58666507,-4.73331627,-16.99140732,41,44,70.93192,48,39,16,19,0.515151515,0.393939394,0.121212121,17,13,38,207,257,134,117,121,120,157
2026,1210,Cal Baptist,13,0,-1.621007279,5.385308337,3.764301058,-3.503780485,39.09686711,198,59,67.343685,258,113,97,205,0.46875,0.25,0.21875,15,8,117,204,30,167,32,75,168,38
2026,1209,Clemson,8,0,6.400401361,10.15557226,16.55597362,-9.783885113,12.63570124,70,19,65.618585,337,37,282,46,0.617647059,0.264705882,0.352941176,21,9,39,226,118,70,37,49,56,59
2026,1208,Connecticut,2,0,14.97698541,12.71936944,27.69635485,22.46096389,-47.84981589,11,12,65.435415,344,9,223,8,0.529411765,0.235294118,0.294117647,18,8,9,99,338,124,26,62,96,38
2026,1207,Duke,1,0,17.46290754,17.3701003,34.83300784,0.539420905,-27.53893509,3,1,67.09369,273,2,291,2,1.058823529,0.235294118,0.823529412,36,8,1,190,292,7,26,5,7,38
2026,1206,Florida,1,0,15.78875922,15.64875133,31.43751054,24.12872066,33.24129341,8,6,71.63538,24,4,232,4,0.939393939,0.151515152,0.787878788,31,5,4,91,46,14,6,7,14,7
2026,1205,Furman,15,0,0.490301861,0.437551772,0.927853633,-4.756748552,1.700488007,161,154,67.1748,267,150,293,158,0.419354839,0.225806452,0.193548387,13,7,152,208,176,216,21,88,218,23
2026,1204,Georgia,8,0,13.18903627,5.028545559,18.21758183,-42.88648487,32.09236098,18,64,72.412665,14,29,119,30,0.96875,0.4375,0.53125,31,14,30,325,49,12,165,20,14,189
2026,1203,Gonzaga,3,0,11.77925483,14.10526985,25.88452468,-32.19502355,4.866065847,29,10,70.429835,70,12,91,13,1.090909091,0.363636364,0.727272727,36,12,10,298,162,5,97,11,7,126
2026,1202,Hawaii,13,0,-1.035482791,4.344121307,3.308638515,-20.1229575,-28.31659979,194,76,70.03232,97,118,249,130,0.642857143,0.285714286,0.357142857,18,8,120,260,295,58,45,48,96,38
2026,1201,High Point,12,0,6.879816492,1.794769496,8.674585988,-39.17917975,-5.231567207,66,132,70.500185,66,78,45,87,1,0.225806452,0.774193548,31,7,79,317,209,11,21,8,14,23
2026,1200,Hofstra,13,0,4.593376447,5.384032481,9.977408928,61.213286,-27.70466585,86,60,65.973475,325,73,161,126,0.4375,0.3125,0.125,14,10,75,11,293,198,67,117,197,77
2026,1199,Houston,2,0,14.1776245,16.76210683,30.93973133,-13.27207455,-25.187391,14,3,64.874615,356,5,44,6,1.117647059,0.323529412,0.794117647,38,11,5,245,287,4,73,6,3,100
2026,1198,Howard,16,0,-4.873919861,3.843650901,-1.03026896,-34.13560557,-52.02373801,279,86,71.12734,38,178,165,240,0.689655172,0.310344828,0.379310345,20,9,181,304,345,45,63,45,64,59
2026,1197,Idaho,15,0,-0.254380501,0.197662807,-0.056717694,-23.11607279,22.40493744,174,164,68.5267857,179,171,198,177,0.5625,0.53125,0.03125,18,17,166,272,73,97,239,163,96,272
2026,1196,Illinois,3,0,18.93805662,9.224944952,28.16300158,-46.47257778,-6.146036228,2,23,67.05525,276,8,224,7,1.125,0.21875,0.90625,36,7,8,334,210,3,19,4,7,23
2026,1195,Iowa,9,0,12.13587274,7.970848431,20.10672117,-41.19901414,-6.538650419,28,31,64.772175,359,23,62,26,0.727272727,0.515151515,0.212121212,24,17,26,321,212,38,223,79,33,272
2026,1194,Iowa St.,2,0,13.50895757,15.95241629,29.46137385,-31.78854396,15.3204914,17,5,68.280407,198,7,46,10,1.235294118,0.470588235,0.764705882,42,16,7,296,104,1,195,9,1,252
2026,1193,Kansas,4,0,8.610666895,13.27085144,21.88151833,-7.321848722,3.780517728,48,11,68.671396,174,19,5,18,0.515151515,0.454545455,0.060606061,17,15,20,215,168,134,179,149,120,216
2026,1192,Kennesaw St.,14,0,1.998331174,-0.84644959,1.151881584,60.05830436,15.46232391,129,187,71.940965,21,161,80,156,0.483870968,0.322580645,0.161290323,15,10,149,12,102,158,70,106,168,77
2026,1191,Kentucky,7,0,10.73359219,9.474924967,20.20851715,-52.00820557,-4.549082701,35,21,69.8354,105,24,28,20,0.617647059,0.382352941,0.235294118,21,13,25,344,205,70,107,71,56,157
2026,1189,LIU Brooklyn,16,0,-3.857612371,0.640028027,-3.217584343,23.9534052,-10.85887941,254,151,69.20997,143,206,158,235,0.558823529,0.382352941,0.176470588,19,13,207,93,234,100,107,93,77,157
2026,1190,Lehigh,16,0,-5.192335885,-3.090372597,-8.282708482,55.41189713,-14.89927669,281,250,68.0828915,214,267,64,299,0.375,0.46875,-0.09375,12,15,271,19,246,247,192,225,243,216
2026,1188,Louisville,6,0,12.54890051,9.289274599,21.83817511,-94.09654034,36.38881914,24,22,70.931805,49,21,32,9,1,0.333333333,0.666666667,33,11,21,364,36,11,78,12,9,100
2026,1187,McNeese St.,12,0,3.794224674,6.792069425,10.5862941,-44.09779069,1.217235956,94,41,67.688605,237,65,70,71,0.838709677,0.290322581,0.548387097,26,9,67,329,177,21,53,19,26,59
2026,1186,Miami FL,7,0,11.58787275,7.092908774,18.68078153,-38.97151709,26.32346832,30,39,68.790886,167,27,279,25,0.727272727,0.242424242,0.484848485,24,8,28,316,67,38,28,26,33,38
2026,1185,Miami OH,11,0,7.015173233,1.325421672,8.340594906,34.75309926,13.95620573,64,138,70.97563,46,81,233,94,0.655172414,0.275862069,0.379310345,19,8,83,61,114,55,40,45,77,38
2026,1184,Michigan,1,0,17.37339906,17.12372885,34.49712792,36.1903718,48.17497886,4,2,71.81317,22,1,126,1,1.088235294,0.088235294,1,37,3,2,56,18,6,3,1,4,3
2026,1183,Michigan St.,3,0,12.64662425,11.96760069,24.61422494,32.76203898,-63.57385353,23,14,67.24348,264,11,72,16,0.65625,0.1875,0.46875,21,6,12,67,358,53,11,28,56,13
2026,1182,Missouri,10,0,10.06093542,4.369814498,14.43074992,-31.89341152,30.19091347,39,75,67.64684,238,49,208,36,0.53125,0.34375,0.1875,17,11,49,297,56,123,85,90,120,100
2026,1181,Nebraska,4,0,8.269946122,14.16986873,22.43981486,25.03520424,8.077867047,50,8,67.96408,224,18,175,32,0.90625,0.28125,0.625,29,9,18,85,141,16,43,14,18,59
2026,1180,North Carolina,6,0,8.192609625,6.553984655,14.74659428,-14.61695186,16.11968873,52,46,69.231405,142,46,12,41,0.625,0.28125,0.34375,20,9,48,248,96,66,43,52,64,59
2026,1179,North Carolina St.,11,0,12.29494731,4.191324277,16.48627159,-99.00990099,-13.24077609,25,78,70.182925,87,38,88,24,0.848484848,0.454545455,0.393939394,28,15,40,365,241,20,179,40,20,216
2026,1178,North Dakota St.,14,0,2.72146362,1.405487745,4.126951365,-17.44023761,29.8851292,118,137,67.452995,252,110,189,148,0.677419355,0.35483871,0.322580645,21,11,113,254,58,48,93,57,56,100
2026,1177,Northern Iowa,12,0,1.754873408,8.846915174,10.60178858,13.6786809,11.92977551,131,25,64.179535,363,64,323,97,0.470588235,0.264705882,0.205882353,16,9,66,139,121,161,37,81,141,59
2026,1176,Ohio St.,8,0,14.88048012,6.362613635,21.24309376,-25.22134656,-9.216140586,12,50,67.54274,245,20,154,17,0.545454545,0.333333333,0.212121212,18,11,22,279,224,110,78,79,96,100
2026,1175,Penn,14,0,-1.916604213,2.796983181,0.880378969,-1.433120381,15.39570299,208,103,70.121505,92,163,320,191,0.407407407,0.407407407,0,11,11,153,196,103,223,132,190,268,100
2026,1174,Prairie View A&M,16,0,-7.214760626,-2.859131055,-10.07389168,36.04364037,-97.98394662,309,245,72.073595,18,293,300,327,0.35483871,0.516129032,-0.161290323,11,16,292,57,364,266,232,260,268,252
2026,1173,Purdue,2,0,22.30041367,7.999941763,30.30035544,-4.447288942,10.65212734,1,30,65.46558,342,6,292,3,0.857142857,0.428571429,0.428571429,30,15,6,206,127,18,149,34,15,216
2026,1172,Queens,15,0,5.961952542,-7.935541429,-1.973588887,-76.06411804,-9.422244182,73,331,70.150565,90,191,133,170,0.484848485,0.484848485,0,16,16,192,358,226,149,207,190,141,252
2026,1167,SMU,11,0,12.16739286,4.472081061,16.63947392,-11.8500937,56.43278698,27,70,70.06814,95,48,40,29,0.696969697,0.303030303,0.393939394,23,10,37,238,12,44,59,40,39,77
2026,1171,Saint Louis,9,0,10.22825178,7.411491714,17.6397435,10.43336296,43.47758263,37,36,72.080435,17,30,6,48,1.1875,0.28125,0.90625,38,9,31,151,23,2,43,4,3,59
2026,1170,Saint Mary's,7,0,9.94249487,10.73033286,20.67282773,-5.793753033,-37.88050229,40,18,66.09755,317,22,20,45,0.741935484,0.129032258,0.612903226,23,4,23,211,320,31,4,15,39,5
2026,1169,Santa Clara,10,0,12.84640972,3.980549866,16.82695959,-14.1137413,6.32592521,21,80,70.11527,93,36,225,58,0.666666667,0.363636364,0.303030303,22,12,36,247,150,50,97,61,46,126
2026,1168,Siena,16,0,-0.340314211,0.399030324,0.058716113,5.539073551,-37.12568333,177,155,66.06303,322,175,194,171,0.5,0.470588235,0.029411765,17,16,163,169,319,146,195,166,120,252
2026,1166,South Florida,11,0,8.095163702,7.732350862,15.82751456,-0.534182443,-30.45553318,53,33,72.42666,12,42,227,44,0.741935484,0.35483871,0.387096774,23,11,44,192,301,31,93,43,39,100
2026,1165,St. John's,5,0,10.77297487,14.68097591,25.45395078,1.004678088,14.12272483,34,7,70.82205,53,10,101,12,0.735294118,0.205882353,0.529411765,25,7,11,187,112,32,15,22,29,23
2026,1164,TCU,9,0,6.873652262,9.204741989,16.07839425,47.74576065,27.70944565,67,24,68.9850685,158,41,114,43,0.515151515,0.303030303,0.212121212,17,10,43,36,64,134,59,79,120,77
2026,1163,Tennessee,6,0,11.17579547,12.34186199,23.51765745,-44.11225068,-30.15127139,32,13,66.24527,308,16,34,21,0.636363636,0.181818182,0.454545455,21,6,16,330,300,61,8,29,56,13
2026,1162,Tennessee St.,15,0,0.740854652,-0.345543959,0.395310692,37.77422537,-17.84797036,155,176,71.00965,44,158,206,212,0.448275862,0.413793103,0.034482759,13,12,160,51,259,188,137,153,218,126
2026,1161,Texas,11,0,13.6152167,3.213718725,16.82893543,-6.755317634,-3.513414838,16,95,67.94856,225,35,241,34,0.387096774,0.290322581,0.096774194,12,9,34,214,199,237,53,130,243,59
2026,1160,Texas A&M,10,0,9.78126494,6.569664225,16.35092916,-12.31159771,25.49950588,43,45,72.034045,19,40,273,42,0.90625,0.46875,0.4375,29,15,41,239,69,16,192,32,18,216
2026,1159,Texas Tech,5,0,11.54237863,6.787035957,18.32941459,23.95571417,6.171565659,31,42,67.52277,246,33,102,35,0.8125,0.375,0.4375,26,12,29,92,151,24,103,32,26,126
2026,1158,Troy,13,0,2.583532491,1.824603073,4.408135564,64.47410655,3.839764488,122,130,66.8748,284,111,118,133,0.516129032,0.322580645,0.193548387,16,10,110,8,167,130,70,88,141,77
2026,1157,UCF,10,0,8.578056659,2.626738495,11.20479515,-9.388041268,40.46490665,49,110,70.436495,68,60,120,67,0.53125,0.65625,-0.125,17,21,62,225,29,123,314,239,120,328
2026,1156,UCLA,7,0,13.0991663,7.241824809,20.3409911,-16.89358379,-18.92081179,19,38,66.03927,323,28,19,22,0.558823529,0.470588235,0.088235294,19,16,24,252,264,100,195,137,77,252
2026,1155,UMBC,16,0,0.202128644,-0.234595057,-0.032466413,-32.54175727,11.74202392,168,172,67.78245,233,162,335,249,0.533333333,0.333333333,0.2,16,10,165,299,122,115,78,83,141,77
2026,1154,Utah St.,9,0,12.23975101,5.328099011,17.56785002,6.755585508,-18.39112847,26,62,68.5154988,181,31,77,40,0.636363636,0.212121212,0.424242424,21,7,32,166,262,61,16,35,56,23
2026,1152,VCU,11,0,9.58327212,6.534899622,16.11817174,18.47808476,13.07707672,44,48,69.87242,103,43,147,53,0.575757576,0.424242424,0.151515152,19,14,42,118,117,87,148,109,77,189
2026,1153,Vanderbilt,5,0,16.04931714,7.970568512,24.01988565,11.19632448,-0.174765787,7,32,70.024705,98,14,121,14,0.764705882,0.235294118,0.529411765,26,8,14,147,189,29,26,22,26,38
2026,1151,Villanova,8,0,7.769744337,7.493082011,15.26282635,-51.34165825,-32.23703082,57,34,66.64296,292,45,203,50,0.5,0.40625,0.09375,16,13,46,342,306,146,131,135,141,157
2026,1150,Virginia,3,0,12.64728609,11.48374584,24.13103194,18.61751137,7.049520942,22,15,66.87485,283,13,99,23,0.941176471,0.205882353,0.735294118,32,7,13,115,146,13,15,10,10,23
2026,1149,Wisconsin,5,0,15.74631291,6.449820723,22.19613363,50.92904798,-16.5143657,9,49,69.151715,152,25,66,28,0.764705882,0.323529412,0.441176471,26,11,19,28,255,29,73,30,26,100
2026,1148,Wright St.,14,0,2.677628771,-1.384984413,1.292644358,-1.190375963,36.09697823,120,206,68.4321965,189,147,302,146,0.5625,0.1875,0.375,18,6,148,194,37,97,11,46,96,13
2025,1147,Akron,13,64,6.231715811,-0.469638964,5.762076847,1.752475528,5.423443983,69,180,71.76555887,17,,158,,0.575757576,0.424242424,0.151515152,19,14,104,188,153,85,152,104,89,183
2025,1146,Alabama,2,8,18.2719466,9.303672797,27.57561939,15.92028733,-5.399149244,4,26,75.4790585,1,,216,,0.459459459,0.189189189,0.27027027,17,7,5,123,196,187,5,65,129,14
2025,1145,Alabama St.,16,64,-4.782985616,-1.579836005,-6.362821621,3.849147681,-14.11611084,266,207,68.7586579,143,,273,,0.514285714,0.514285714,0,18,18,250,180,244,138,211,187,107,283
2025,1144,American,16,68,-2.638903944,-1.318342575,-3.957246519,-16.38655953,-8.409056319,225,198,64.73061253,349,,45,,0.484848485,0.424242424,0.060606061,16,14,214,263,218,156,152,150,152,183
2025,1143,Arizona,4,16,14.58315659,8.864595271,23.44775186,-34.47893985,19.70361147,10,31,70.68771133,51,,93,,0.594594595,0.216216216,0.378378378,22,8,13,334,105,74,13,34,52,30
2025,1142,Arkansas,10,16,6.821106628,10.32152209,17.14262872,-23.01167832,75.91211115,65,19,69.78938074,86,,113,,0.527777778,0.472222222,0.055555556,19,17,36,295,9,122,191,152,89,261
2025,1141,Auburn,1,4,18.55681655,11.5259014,30.08271795,-18.65141679,62.17933336,3,12,68.41830479,161,,73,,0.921052632,0.236842105,0.684210526,35,9,4,274,19,9,21,7,7,48
2025,1140,Baylor,9,32,13.40936327,7.005794585,20.41515786,-54.36506514,-5.628979277,16,49,65.51106487,326,,37,,0.5,0.294117647,0.205882353,17,10,23,350,197,151,54,86,129,74
2025,1139,Bryant,15,64,0.824941933,2.889434687,3.71437662,-28.28949586,-59.21506609,156,107,73.05605788,6,,90,,0.666666667,0.303030303,0.363636364,22,10,118,315,345,47,59,41,52,74
2025,1138,BYU,6,16,14.55771021,7.229032501,21.78674272,-10.89213226,39.11853373,11,46,68.50717821,154,,13,,0.861111111,0.277777778,0.583333333,31,10,17,245,52,12,45,13,13,74
2025,1137,Clemson,5,64,11.17637271,11.5069438,22.68331651,45.45680382,-40.34450709,22,13,65.72675436,317,,186,,0.529411765,0.411764706,0.117647059,18,14,16,48,317,119,134,122,107,183
2025,1136,Colorado St.,12,32,8.486964824,7.869790945,16.35675577,11.37049654,-67.57213563,48,40,67.01159214,249,,58,,0.555555556,0.416666667,0.138888889,20,15,41,143,352,95,140,107,74,210
2025,1135,Connecticut,8,32,14.44762952,6.701411723,21.14904125,-33.61604031,33.50921246,12,51,64.86386461,344,,163,,0.742857143,0.285714286,0.457142857,26,10,20,333,68,27,50,25,26,74
2025,1134,Creighton,9,32,10.46342456,8.304920463,18.76834502,3.22649925,-56.74992602,26,37,68.23707719,180,,115,,0.611111111,0.472222222,0.138888889,22,17,31,183,343,64,191,107,52,261
2025,1133,Drake,11,32,5.780280773,7.196177165,12.97645794,80.89994864,2.329900553,71,47,60.45421535,364,,316,,0.484848485,0.212121212,0.272727273,16,7,58,9,162,156,12,64,152,14
2025,1132,Duke,1,4,21.02645011,14.89613155,35.92258166,6.708664414,24.0931065,1,3,66.47246559,286,,195,,1,0.205128205,0.794871795,39,8,1,167,90,5,8,2,1,30
2025,1131,Florida,1,1,18.87087395,14.05811511,32.92898906,99.00990099,48.01023023,2,4,70.41034738,58,,21,,0.9,0.275,0.625,36,11,3,1,30,11,42,10,4,99
