YEAR,ROUND,CURRENT ROUND,TEAM NO 1,TEAM 1,SEED 1,SCORE 1,TEAM NO 2,TEAM 2,SEED 2,SCORE 2,TEAM 1 WIN
2025,4,64,1141,Auburn,1,83.0,1145,Alabama St.,16,63.0,1
2025,64,64,1119,Louisville,8,75.0,1134,Creighton,9,89.0,0
2025,16,64,1114,Michigan,5,68.0,1089,UC San Diego,12,65.0,1
2025,32,64,1092,Texas A&M,4,80.0,1080,Yale,13,71.0,1
2025,16,64,1112,Mississippi,6,71.0,1104,North Carolina,11,64.0,1
2025,32,64,1124,Iowa St.,3,82.0,1120,Lipscomb,14,55.0,1
2025,64,64,1118,Marquette,7,66.0,1106,New Mexico,10,75.0,0
2025,8,64,1113,Michigan St.,2,87.0,1139,Bryant,15,62.0,1
2025,1,64,1131,Florida,1,95.0,1105,Norfolk St.,16,69.0,1
2025,32,64,1135,Connecticut,8,67.0,1103,Oklahoma,9,59.0,1
2025,64,64,1115,Memphis,5,70.0,1136,Colorado St.,12,78.0,0
2025,16,64,1117,Maryland,4,81.0,1128,Grand Canyon,13,49.0,1
2025,64,64,1110,Missouri,6,57.0,1133,Drake,11,67.0,0
2025,8,64,1091,Texas Tech,3,82.0,1087,UNC Wilmington,14,72.0,1
2025,64,64,1123,Kansas,7,72.0,1142,Arkansas,10,79.0,0
2025,32,64,1095,St. John's,2,83.0,1107,Nebraska Omaha,15,53.0,1
2025,4,64,1132,Duke,1,93.0,1108,Mount St. Mary's,16,49.0,1
2025,64,64,1111,Mississippi St.,8,72.0,1140,Baylor,9,75.0,0
2025,32,64,1102,Oregon,5,81.0,1121,Liberty,12,52.0,1
2025,16,64,1143,Arizona,4,93.0,1147,Akron,13,65.0,1
2025,16,64,1138,BYU,6,80.0,1084,VCU,11,71.0,1
2025,32,64,1083,Wisconsin,3,85.0,1109,Montana,14,66.0,1
2025,32,64,1098,Saint Mary's,7,59.0,1085,Vanderbilt,10,56.0,1
2025,8,64,1146,Alabama,2,90.0,1100,Robert Morris,15,81.0,1
2025,2,64,1126,Houston,1,78.0,1096,SIU Edwardsville,16,40.0,1
2025,32,64,1129,Gonzaga,8,89.0,1130,Georgia,9,68.0,1
2025,64,64,1137,Clemson,5,67.0,1116,McNeese St.,12,69.0,0
2025,16,64,1101,Purdue,4,75.0,1127,High Point,13,63.0,1
2025,32,64,1125,Illinois,6,86.0,1081,Xavier,11,73.0,1
2025,16,64,1122,Kentucky,3,76.0,1090,Troy,14,57.0,1
2025,32,64,1088,UCLA,7,72.0,1086,Utah St.,10,47.0,1
2025,8,64,1094,Tennessee,2,77.0,1082,Wofford,15,62.0,1
2025,4,32,1141,Auburn,1,82.0,1134,Creighton,9,70.0,1
2025,16,32,1114,Michigan,5,91.0,1092,Texas A&M,4,79.0,1
2025,16,32,1112,Mississippi,6,91.0,1124,Iowa St.,3,78.0,1
2025,32,32,1106,New Mexico,10,63.0,1113,Michigan St.,2,71.0,0
2025,1,32,1131,Florida,1,77.0,1135,Connecticut,8,75.0,1
2025,32,32,1136,Colorado St.,12,71.0,1117,Maryland,4,72.0,0
2025,32,32,1133,Drake,11,64.0,1091,Texas Tech,3,77.0,0
2025,16,32,1142,Arkansas,10,75.0,1095,St. John's,2,66.0,1
2025,4,32,1132,Duke,1,89.0,1140,Baylor,9,66.0,1
2025,32,32,1102,Oregon,5,83.0,1143,Arizona,4,87.0,0
2025,16,32,1138,BYU,6,91.0,1083,Wisconsin,3,89.0,1
2025,32,32,1098,Saint Mary's,7,66.0,1146,Alabama,2,80.0,0
2025,2,32,1126,Houston,1,81.0,1129,Gonzaga,8,76.0,1
2025,32,32,1116,McNeese St.,12,62.0,1101,Purdue,4,76.0,0
2025,32,32,1125,Illinois,6,75.0,1122,Kentucky,3,84.0,0
2025,32,32,1088,UCLA,7,58.0,1094,Tennessee,2,67.0,0
2025,4,16,1141,Auburn,1,78.0,1114,Michigan,5,65.0,1
2025,16,16,1112,Mississippi,6,70.0,1113,Michigan St.,2,73.0,0
2025,1,16,1131,Florida,1,87.0,1117,Maryland,4,71.0,1
2025,8,16,1091,Texas Tech,3,85.0,1142,Arkansas,10,83.0,1
2025,4,16,1132,Duke,1,100.0,1143,Arizona,4,93.0,1
2025,16,16,1138,BYU,6,88.0,1146,Alabama,2,113.0,0
2025,2,16,1126,Houston,1,62.0,1101,Purdue,4,60.0,1
2025,16,16,1122,Kentucky,3,65.0,1094,Tennessee,2,78.0,0
2025,4,8,1141,Auburn,1,70.0,1113,Michigan St.,2,64.0,1
2025,1,8,1131,Florida,1,84.0,1091,Texas Tech,3,79.0,1
2025,4,8,1132,Duke,1,85.0,1146,Alabama,2,65.0,1
2025,2,8,1126,Houston,1,69.0,1094,Tennessee,2,50.0,1
2025,4,4,1141,Auburn,1,73.0,1131,Florida,1,79.0,0
2025,4,4,1132,Duke,1,67.0,1126,Houston,1,70.0,0
2025,1,2,1131,Florida,1,65.0,1126,Houston,1,63.0,1
2024,1,64,1067,Connecticut,1,91.0,1026,Stetson,16,52.0,1
2024,64,64,1060,Florida Atlantic,8,65.0,1036,Northwestern,9,77.0,0
2024,16,64,1029,San Diego St.,5,69.0,1020,UAB,12,65.0,1
2024,64,64,1076,Auburn,4,76.0,1012,Yale,13,78.0,0
2024,64,64,1073,BYU,6,67.0,1062,Duquesne,11,71.0,0
2024,8,64,1054,Illinois,3,85.0,1042,Morehead St.,14,69.0,1
2024,32,64,1015,Washington St.,7,66.0,1064,Drake,10,61.0,1
2024,16,64,1053,Iowa St.,2,82.0,1027,South Dakota St.,15,65.0,1
2024,16,64,1038,North Carolina,1,90.0,1016,Wagner,16,62.0,1
2024,64,64,1044,Mississippi St.,8,51.0,1045,Michigan St.,9,69.0,0
2024,64,64,1032,Saint Mary's,5,66.0,1057,Grand Canyon,12,75.0,0
2024,4,64,1078,Alabama,4,109.0,1070,College of Charleston,13,96.0,1
2024,8,64,1072,Clemson,6,77.0,1039,New Mexico,11,56.0,1
2024,32,64,1075,Baylor,3,92.0,1071,Colgate,14,67.0,1
2024,32,64,1065,Dayton,7,63.0,1040,Nevada,10,60.0,1
2024,16,64,1077,Arizona,2,85.0,1049,Long Beach St.,15,65.0,1
2024,16,64,1056,Houston,1,86.0,1048,Longwood,16,46.0,1
2024,64,64,1041,Nebraska,8,83.0,1022,Texas A&M,9,98.0,0
2024,64,64,1013,Wisconsin,5,61.0,1052,James Madison,12,72.0,0
2024,8,64,1063,Duke,4,64.0,1018,Vermont,13,47.0,1
2024,64,64,1021,Texas Tech,6,67.0,1037,North Carolina St.,11,80.0,0
2024,64,64,1050,Kentucky,3,76.0,1035,Oakland,14,80.0,0
2024,64,64,1061,Florida,7,100.0,1069,Colorado,10,102.0,0
2024,16,64,1047,Marquette,2,87.0,1014,Western Kentucky,15,69.0,1
2024,2,64,1033,Purdue,1,78.0,1058,Grambling St.,16,50.0,1
2024,32,64,1019,Utah St.,8,88.0,1025,TCU,9,72.0,1
2024,16,64,1059,Gonzaga,5,86.0,1046,McNeese St.,12,65.0,1
2024,32,64,1051,Kansas,4,93.0,1030,Samford,13,89.0,1
2024,64,64,1028,South Carolina,6,73.0,1034,Oregon,11,87.0,0
2024,16,64,1066,Creighton,3,77.0,1079,Akron,14,60.0,1
2024,32,64,1023,Texas,7,56.0,1068,Colorado St.,10,44.0,1
2024,8,64,1024,Tennessee,2,83.0,1031,Saint Peter's,15,49.0,1
2024,1,32,1067,Connecticut,1,75.0,1036,Northwestern,9,58.0,1
2024,16,32,1029,San Diego St.,5,85.0,1012,Yale,13,57.0,1
2024,32,32,1062,Duquesne,11,63.0,1054,Illinois,3,89.0,0
2024,32,32,1015,Washington St.,7,56.0,1053,Iowa St.,2,67.0,0
2024,16,32,1038,North Carolina,1,85.0,1045,Michigan St.,9,69.0,1
2024,32,32,1057,Grand Canyon,12,61.0,1078,Alabama,4,72.0,0
2024,8,32,1072,Clemson,6,72.0,1075,Baylor,3,64.0,1
2024,32,32,1065,Dayton,7,68.0,1077,Arizona,2,78.0,0
2024,16,32,1056,Houston,1,100.0,1022,Texas A&M,9,95.0,1
2024,32,32,1052,James Madison,12,55.0,1063,Duke,4,93.0,0
2024,4,32,1037,North Carolina St.,11,79.0,1035,Oakland,14,73.0,1
2024,32,32,1069,Colorado,10,77.0,1047,Marquette,2,81.0,0
2024,2,32,1033,Purdue,1,106.0,1019,Utah St.,8,67.0,1
2024,16,32,1059,Gonzaga,5,89.0,1051,Kansas,4,68.0,1
2024,32,32,1034,Oregon,11,73.0,1066,Creighton,3,86.0,0
2024,32,32,1023,Texas,7,58.0,1024,Tennessee,2,62.0,0
2024,1,16,1067,Connecticut,1,82.0,1029,San Diego St.,5,52.0,1
2024,8,16,1054,Illinois,3,72.0,1053,Iowa St.,2,69.0,1
2024,16,16,1038,North Carolina,1,87.0,1078,Alabama,4,89.0,0
2024,8,16,1072,Clemson,6,77.0,1077,Arizona,2,72.0,1
2024,16,16,1056,Houston,1,51.0,1063,Duke,4,54.0,0
2024,4,16,1037,North Carolina St.,11,67.0,1047,Marquette,2,58.0,1
