YEAR,TEAM NO,TEAM,SEED,ROUND,EASY DRAW,TOUGH DRAW,DARK HORSE,UPSET ALERT,CINDERELLA
2026,1188,Louisville,6,0,FALSE,FALSE,TRUE,FALSE,FALSE
2026,1163,Tennessee,6,0,FALSE,FALSE,TRUE,FALSE,FALSE
2025,1135,Connecticut,8,32,FALSE,FALSE,TRUE,FALSE,FALSE
2025,1103,Oklahoma,9,64,FALSE,TRUE,FALSE,FALSE,FALSE
2025,1115,Memphis,5,64,FALSE,TRUE,FALSE,TRUE,FALSE
2025,1136,Colorado St.,12,32,TRUE,FALSE,FALSE,FALSE,TRUE
2025,1087,UNC Wilmington,14,64,FALSE,TRUE,FALSE,FALSE,FALSE
2025,1123,Kansas,7,64,FALSE,FALSE,TRUE,FALSE,FALSE
2025,1142,Arkansas,10,16,FALSE,TRUE,FALSE,FALSE,FALSE
2025,1095,St. John's,2,32,FALSE,TRUE,FALSE,TRUE,FALSE
2025,1107,Nebraska Omaha,15,64,TRUE,FALSE,FALSE,FALSE,FALSE
2025,1126,Houston,1,2,FALSE,TRUE,FALSE,FALSE,FALSE
2025,1129,Gonzaga,8,32,FALSE,TRUE,TRUE,FALSE,FALSE
2025,1130,Georgia,9,64,FALSE,TRUE,FALSE,FALSE,FALSE
2025,1101,Purdue,4,16,FALSE,TRUE,FALSE,FALSE,FALSE
2025,1125,Illinois,6,32,FALSE,TRUE,FALSE,FALSE,FALSE
2025,1093,Texas,11,68,FALSE,TRUE,FALSE,FALSE,FALSE
2025,1122,Kentucky,3,16,FALSE,TRUE,FALSE,FALSE,FALSE
2025,1094,Tennessee,2,8,FALSE,TRUE,FALSE,FALSE,FALSE
2025,1082,Wofford,15,64,FALSE,TRUE,FALSE,FALSE,FALSE
2025,1108,Mount St. Mary's,16,64,FALSE,TRUE,FALSE,FALSE,FALSE
2025,1111,Mississippi St.,8,64,FALSE,TRUE,FALSE,FALSE,FALSE
2025,1140,Baylor,9,32,FALSE,FALSE,TRUE,FALSE,FALSE
2025,1102,Oregon,5,32,FALSE,TRUE,FALSE,FALSE,FALSE
