YEAR,CONF ID,CONF,CONF RANK,RPPF RATING,NPB RATING
2026,1,A10,8,0.6631,0.7417
2026,2,ACC,4,0.796,0.849
2026,3,AE,30,0.3636,0.4718
2026,4,Amer,10,0.6218,0.7009
2026,5,ASun,23,0.4588,0.5818
2026,6,B10,3,0.8083,0.8498
2026,7,B12,2,0.8161,0.8609
2026,8,BE,5,0.7823,0.8355
2026,9,BSky,16,0.5614,0.6911
2026,10,BSth,22,0.4764,0.585
2026,11,BW,13,0.5746,0.6901
2026,12,CAA,17,0.5535,0.6692
2026,13,CUSA,14,0.573,0.6758
2026,14,Horz,19,0.5388,0.6719
2026,15,Ivy,11,0.5817,0.6916
2026,16,MAAC,25,0.4429,0.5434
2026,17,MAC,15,0.5655,0.6813
2026,18,MEAC,31,0.2902,0.3744
2026,19,MVC,9,0.6271,0.725
2026,20,MWC,6,0.6967,0.7755
2026,21,NEC,29,0.3703,0.5073
2026,22,OVC,27,0.4061,0.5126
2026,25,Pat,26,0.432,0.5622
2026,26,SB,20,0.5073,0.6242
2026,27,SC,24,0.455,0.5676
2026,28,SEC,1,0.8308,0.8696
2026,29,Slnd,18,0.5396,0.6583
2026,30,Sum,21,0.4941,0.6052
2026,31,SWAC,28,0.396,0.5143
2026,32,WAC,12,0.5777,0.6956
2026,33,WCC,7,0.6691,0.7576
2025,1,A10,8,0.6565,0.7577
2025,2,ACC,5,0.738,0.8089
2025,3,AE,27,0.433,0.5574
2025,4,Amer,10,0.6216,0.7224
2025,5,ASun,24,0.4889,0.5919
2025,6,B10,2,0.8156,0.8668
2025,7,B12,3,0.8119,0.8608
2025,8,BE,4,0.7671,0.8262
2025,9,BSky,20,0.5171,0.6557
2025,10,BSth,16,0.5238,0.6529
2025,11,BW,12,0.5622,0.6676
2025,12,CAA,17,0.5225,0.6531
2025,13,CUSA,9,0.6427,0.7537
2025,14,Horz,22,0.507,0.644
2025,15,Ivy,15,0.5414,0.6593
2025,16,MAAC,25,0.4447,0.5828
2025,17,MAC,23,0.5044,0.634
2025,18,MEAC,29,0.3852,0.5408
2025,19,MVC,11,0.6029,0.7232
2025,20,MWC,6,0.6781,0.7542
2025,21,NEC,30,0.3781,0.5421
2025,22,OVC,26,0.4398,0.5937
2025,25,Pat,28,0.4194,0.5654
2025,26,SB,21,0.5154,0.6268
2025,27,SC,19,0.5186,0.6469
2025,28,SEC,1,0.8552,0.8993
2025,29,Slnd,18,0.5224,0.6705
2025,30,Sum,13,0.5534,0.696
2025,31,SWAC,31,0.3566,0.5032
2025,32,WAC,14,0.5436,0.6634
2025,33,WCC,7,0.6707,0.7623
2024,1,A10,8,0.7029,0.803
2024,2,ACC,5,0.7847,0.8539
2024,3,AE,20,0.531,0.6754
2024,4,Amer,9,0.6798,0.7793
2024,5,ASun,26,0.4936,0.6243
2024,6,B10,2,0.8209,0.8729
2024,7,B12,1,0.8321,0.8792
2024,8,BE,4,0.8056,0.8598
2024,9,BSky,23,0.5251,0.6714
2024,10,BSth,17,0.5627,0.6981
2024,11,BW,16,0.5755,0.6996
2024,12,CAA,19,0.5513,0.6847
2024,13,CUSA,13,0.5832,0.6919
2024,14,Horz,22,0.5251,0.6593
2024,35,ind,28,0.4423,0.6116
2024,15,Ivy,12,0.6158,0.7285
2024,16,MAAC,25,0.5068,0.6533
2024,17,MAC,24,0.5167,0.658
2024,18,MEAC,31,0.389,0.5526
2024,19,MVC,10,0.6738,0.7913
2024,20,MWC,7,0.7437,0.8199
2024,21,NEC,33,0.3787,0.5471
2024,22,OVC,30,0.4343,0.5808
2024,24,P12,6,0.7727,0.8348
2024,25,Pat,29,0.438,0.5877
2024,26,SB,18,0.5606,0.6853
2024,27,SC,14,0.5823,0.722
2024,28,SEC,3,0.8155,0.865
2024,29,Slnd,27,0.454,0.6116
2024,30,Sum,21,0.5282,0.6776
2024,31,SWAC,32,0.3833,0.5374
2024,32,WAC,15,0.5822,0.7052
2024,33,WCC,11,0.6321,0.7229
2023,1,A10,12,0.6378,0.7329
2023,2,ACC,8,0.7366,0.7951
2023,3,AE,27,0.4949,0.6406
2023,4,Amer,7,0.7399,0.813
2023,5,ASun,18,0.5642,0.6934
2023,6,B10,2,0.816,0.8668
2023,7,B12,1,0.8674,0.8985
2023,8,BE,3,0.8067,0.8608
2023,9,BSky,17,0.5672,0.7111
2023,10,BSth,22,0.5182,0.6573
2023,11,BW,15,0.5989,0.7224
2023,12,CAA,23,0.5069,0.6356
2023,13,CUSA,10,0.6683,0.7659
2023,14,Horz,24,0.5059,0.6475
2023,35,ind,33,0.3208,0.4869
2023,15,Ivy,13,0.6217,0.7445
2023,16,MAAC,21,0.5366,0.6708
2023,17,MAC,19,0.559,0.6877
2023,18,MEAC,28,0.4422,0.5986
2023,19,MVC,16,0.5803,0.6954
2023,20,MWC,6,0.7588,0.8345
2023,21,NEC,32,0.36,0.5174
