YEAR,TEAM NO,TEAM,SEED,ROUND,TR RANK,TR RATING,V 1-25 WINS,V 1-25 LOSS,V 26-50 WINS,V 26-50 LOSS,V 51-100 WINS,V 51-100 LOSS,HI,LO,LAST
2026,1215,Akron,12,0,64,10.1,0,0,0,0,0,0,43,100,64
2026,1214,Alabama,4,0,16,20.5,2,2,5,1,2,0,13,72,16
2026,1213,Arizona,1,0,3,28,3,1,3,0,2,0,2,156,3
2026,1212,Arkansas,4,0,10,22.7,3,1,4,0,2,0,7,79,10
2026,1211,BYU,6,0,21,19.4,2,2,1,0,2,1,4,168,21
2026,1210,Cal Baptist,13,0,128,2.7,0,0,0,0,1,0,127,315,128
2026,1209,Clemson,8,0,47,13.2,1,0,2,1,1,2,5,47,47
2026,1208,Connecticut,2,0,23,19.2,1,1,2,0,5,1,4,97,23
2026,1207,Duke,1,0,2,28.8,3,0,3,0,2,0,2,167,2
2026,1206,Florida,1,0,4,25.8,4,0,1,1,3,0,4,144,4
2026,1205,Furman,15,0,212,-2.8,0,0,0,0,0,0,114,298,212
2026,1204,Georgia,8,0,27,18.7,2,2,2,1,1,1,3,35,28
2026,1203,Gonzaga,3,0,6,24.8,1,0,1,0,2,0,1,19,6
2026,1202,Hawaii,13,0,123,3.3,0,0,0,0,0,1,85,192,123
2026,1201,High Point,12,0,46,13.2,0,0,0,0,0,0,12,173,46
2026,1200,Hofstra,13,0,90,6.1,0,0,0,0,0,0,71,284,90
2026,1199,Houston,2,0,5,25.1,1,1,3,0,3,0,1,99,5
2026,1198,Howard,16,0,210,-2.7,0,0,0,1,0,1,205,343,210
2026,1197,Idaho,15,0,151,1,0,0,0,0,0,0,92,218,151
2026,1196,Illinois,3,0,9,23.6,1,2,1,1,4,0,1,14,9
2026,1195,Iowa,9,0,28,18.7,1,3,2,0,3,0,10,117,27
2026,1194,Iowa St.,2,0,7,24.2,2,1,3,0,4,0,3,24,7
2026,1193,Kansas,4,0,12,22.2,4,1,2,1,0,0,5,24,12
2026,1192,Kennesaw St.,14,0,114,4,0,0,0,1,0,0,13,141,114
