YEAR,TEAM NO,TEAM,SEED,ROUND,Z RATING RANK,SEED LIST,Z RATING,TYPE
2026,1215,Akron,12,0,43,48,9.67,NEW
2026,1214,Alabama,4,0,24,14,14.78,NEW
2026,1213,Arizona,1,0,1,2,25.29,NEW
2026,1212,Arkansas,4,0,20,16,15.55,NEW
2026,1211,BYU,6,0,27,24,14.7,NEW
2026,1210,Cal Baptist,13,0,52,51,6.84,NEW
2026,1209,Clemson,8,0,37,29,12.71,NEW
2026,1208,Connecticut,2,0,7,6,19.21,NEW
2026,1207,Duke,1,0,2,1,24.77,NEW
2026,1206,Florida,1,0,6,4,20.55,NEW
2026,1205,Furman,15,0,66,61,4.75,NEW
2026,1204,Georgia,8,0,33,32,13.07,NEW
2026,1203,Gonzaga,3,0,11,11,18.08,NEW
2026,1202,Hawaii,13,0,53,54,6.74,NEW
2026,1201,High Point,12,0,50,50,7.53,NEW
2026,1200,Hofstra,13,0,57,52,6.12,NEW
2026,1199,Houston,2,0,8,5,19.05,NEW
2026,1198,Howard,16,0,60,65,5.79,NEW
2026,1197,Idaho,15,0,58,60,6.07,NEW
2026,1196,Illinois,3,0,13,10,17.72,NEW
2026,1195,Iowa,9,0,31,36,13.36,NEW
2026,1194,Iowa St.,2,0,4,7,22.43,NEW
2026,1193,Kansas,4,0,21,15,15.38,NEW
2026,1192,Kennesaw St.,14,0,63,58,5.48,NEW
2026,1191,Kentucky,7,0,23,25,14.95,NEW
2026,1190,Lehigh,16,0,68,67,3.63,NEW
2026,1189,LIU Brooklyn,16,0,67,64,4.36,NEW
2026,1188,Louisville,6,0,9,23,18.75,NEW
2026,1187,McNeese St.,12,0,49,47,8,NEW
2026,1186,Miami FL,7,0,26,27,14.76,NEW
2026,1185,Miami OH,11,0,48,44,8.42,NEW
2026,1184,Michigan,1,0,5,3,21.73,NEW
2026,1183,Michigan St.,3,0,12,9,17.9,NEW
2026,1182,Missouri,10,0,40,39,11.55,NEW
2026,1181,Nebraska,4,0,10,13,18.14,NEW
2026,1180,North Carolina,6,0,39,22,12.25,NEW
2026,1179,North Carolina St.,11,0,30,41,13.54,NEW
2026,1178,North Dakota St.,14,0,51,55,7.26,NEW
2026,1177,Northern Iowa,12,0,44,49,9.44,NEW
2026,1176,Ohio St.,8,0,19,31,15.6,NEW
2026,1175,Penn,14,0,56,56,6.36,NEW
2026,1174,Prarie View A&M,16,0,64,68,5.15,NEW
2026,1173,Purdue,2,0,3,8,22.52,NEW
2026,1172,Queens,15,0,54,62,6.59,NEW
2026,1171,Saint Louis,9,0,47,35,8.8,NEW
2026,1170,Saint Mary's,7,0,41,26,11.5,NEW
2026,1169,Santa Clara,10,0,42,37,9.86,NEW
2026,1168,Siena,16,0,59,63,5.8,NEW
2026,1167,SMU,11,0,29,43,13.63,NEW
2026,1166,South Florida,11,0,46,46,8.9,NEW
2026,1165,St. John's,5,0,16,18,16.61,NEW
2026,1164,TCU,9,0,36,34,12.75,NEW
2026,1163,Tennessee,6,0,15,21,17.15,NEW
2026,1162,Tennessee St.,15,0,61,59,5.63,NEW
2026,1161,Texas,11,0,28,42,13.76,NEW
2026,1160,Texas A&M,10,0,32,40,13.3,NEW
2026,1159,Texas Tech,5,0,22,19,15.37,NEW
2026,1158,Troy,13,0,55,53,6.58,NEW
2026,1157,UCF,10,0,34,38,13,NEW
2026,1156,UCLA,7,0,25,28,14.76,NEW
2026,1155,UMBC,16,0,65,66,4.96,NEW
2026,1154,Utah St.,9,0,38,33,12.46,NEW
2026,1153,Vanderbilt,5,0,14,17,17.17,NEW
2026,1152,VCU,11,0,45,45,9.42,NEW
2026,1151,Villanova,8,0,35,30,12.76,NEW
2026,1150,Virginia,3,0,17,12,16.2,NEW
2026,1149,Wisconsin,5,0,18,20,15.7,NEW
2026,1148,Wright St.,14,0,62,57,5.53,NEW
2025,1147,Akron,13,64,54,53,7.97,NEW
2025,1146,Alabama,2,8,9,6,18.29,NEW
2025,1145,Alabama St.,16,64,63,67,5.71,NEW
2025,1144,American,16,68,64,65,5.63,NEW
2025,1143,Arizona,4,16,6,16,18.95,NEW
2025,1142,Arkansas,10,16,34,37,13.69,NEW
2025,1141,Auburn,1,4,2,1,24.31,NEW
2025,1140,Baylor,9,32,19,35,15.94,NEW
2025,1139,Bryant,15,64,60,62,6.89,NEW
2025,1138,BYU,6,16,18,21,16.24,NEW
2025,1137,Clemson,5,64,39,18,12.55,NEW
2025,1136,Colorado St.,12,32,49,48,9.9,NEW
2025,1135,Connecticut,8,32,32,31,14.07,NEW
2025,1134,Creighton,9,32,36,33,13.34,NEW
2025,1133,Drake,11,32,48,44,9.74,NEW
2025,1132,Duke,1,4,5,2,21.4,NEW
2025,1131,Florida,1,1,1,4,24.33,NEW
2025,1130,Georgia,9,64,37,34,13.1,NEW
2025,1129,Gonzaga,8,32,20,30,15.66,NEW
2025,1128,Grand Canyon,13,64,57,54,7.57,NEW
2025,1127,High Point,13,64,55,52,7.85,NEW
2025,1126,Houston,1,2,4,3,21.64,NEW
2025,1125,Illinois,6,32,28,22,14.97,NEW
2025,1124,Iowa St.,3,32,7,10,18.68,NEW
2025,1123,Kansas,7,64,11,28,18.15,NEW
2025,1122,Kentucky,3,16,13,11,16.82,NEW
2025,1121,Liberty,12,64,46,50,10.33,NEW
2025,1120,Lipscomb,14,64,51,55,8.96,NEW
2025,1119,Louisville,8,64,27,29,15.14,NEW
2025,1118,Marquette,7,64,25,26,15.41,NEW
2025,1117,Maryland,4,16,14,15,16.57,NEW
2025,1116,McNeese St.,12,32,50,49,9.38,NEW
2025,1115,Memphis,5,64,53,20,8.11,NEW
2025,1114,Michigan,5,16,24,17,15.35,NEW
2025,1113,Michigan St.,2,8,12,7,17.29,NEW
2025,1112,Mississippi,6,16,21,24,15.58,NEW
2025,1111,Mississippi St.,8,64,31,32,14.2,NEW
2025,1110,Missouri,6,64,17,23,16.43,NEW
2025,1109,Montana,14,64,58,58,7.44,NEW
2025,1108,Mount St. Mary's,16,64,67,66,4.63,NEW
2025,1107,Nebraska Omaha,15,64,66,61,5.04,NEW
2025,1106,New Mexico,10,32,43,38,11.4,NEW
2025,1105,Norfolk St.,16,64,62,63,6.57,NEW
2025,1104,North Carolina,11,64,35,46,13.32,NEW
2025,1103,Oklahoma,9,64,29,36,14.32,NEW
2025,1102,Oregon,5,32,26,29,15.25,NEW
2025,1101,Purdue,4,16,23,14,15.53,NEW
2025,1100,Robert Morris,15,64,61,59,6.81,NEW
2025,1099,Saint Francis,16,68,68,68,3.62,NEW
2025,1098,Saint Mary's,7,32,30,27,14.02,NEW
