YEAR,TEAM NO,TEAM,SEED,ROUND,PRESEASON KADJ EM RANK,PRESEASON KADJ EM,PRESEASON KADJ O,PRESEASON KADJ O RANK,PRESEASON KADJ D,PRESEASON KADJ D RANK,PRESEASON KADJ T,PRESEASON KADJ T RANK,KADJ EM RANK CHANGE,KADJ EM CHANGE,KADJ T CHANGE
2026,1215,Akron,12,0,94,8.29,110.4,75,102.1,116,72.6,53,30,4.51,-2.4
2026,1214,Alabama,4,0,23,21.05,117.1,16,96.1,34,76.3,1,5,4.67,-3.2
2026,1213,Arizona,1,0,15,23.87,118.6,11,94.7,22,73.7,19,13,13.79,-3.9
2026,1212,Arkansas,4,0,29,20.08,115,29,95,25,72.5,65,14,5.97,-1.5
2026,1211,BYU,6,0,18,23.09,120.9,4,97.8,55,71.1,170,-5,0.16,-1.2
2026,1210,Cal Baptist,13,0,192,-3.35,104.2,165,107.5,243,69.7,293,86,9.34,-3.9
2026,1209,Clemson,8,0,32,19.87,115.3,27,95.4,30,69.1,327,-4,-0.63,-4.9
2026,1208,Connecticut,2,0,5,28.38,121.3,2,93,13,68.5,351,-6,-0.51,-4
2026,1207,Duke,1,0,7,26.38,120.5,7,94.1,17,69.8,280,6,12.52,-4.5
2026,1206,Florida,1,0,2,29.46,121.3,3,91.9,6,73,37,-2,4.33,-2.4
2026,1205,Furman,15,0,133,1.61,106.7,117,105.1,168,70.3,243,-58,-3.59,-4.5
2026,1204,Georgia,8,0,44,17.29,114,41,96.7,43,70.7,210,12,3.19,0.7
2026,1203,Gonzaga,3,0,8,25.93,120.2,8,94.3,19,73.5,23,-2,2.17,-4.9
2026,1202,Hawaii,13,0,113,4.78,105.8,135,101,103,69.8,284,5,1.19,-0.1
2026,1201,High Point,12,0,103,6.65,110.8,71,104.2,145,70.8,206,11,1.76,-0.9
2026,1200,Hofstra,13,0,162,-1.18,101.3,238,102.5,120,69,333,75,10.67,-4.3
2026,1199,Houston,2,0,1,31.13,119.5,10,88.3,1,66.9,362,-4,2.3,-3.6
2026,1198,Howard,16,0,308,-11.37,100.2,261,111.5,333,72.8,45,101,8.19,-3.8
2026,1197,Idaho,15,0,244,-6.56,104,168,110.6,318,70,270,99,8.09,-2.2
2026,1196,Illinois,3,0,6,26.82,120.5,6,93.7,16,73.6,22,-1,5.28,-8
2026,1195,Iowa,9,0,46,16.27,114.1,40,97.9,57,65.4,365,21,6.17,-2.4
2026,1194,Iowa St.,2,0,13,24.15,113.7,44,89.5,2,71.3,147,7,8.27,-4.7
2026,1193,Kansas,4,0,21,21.45,114,42,92.6,10,72,99,0,2.99,-4.4
2026,1192,Kennesaw St.,14,0,141,0.89,106.3,127,105.4,177,73.8,16,-22,-0.32,-2.7
2026,1191,Kentucky,7,0,4,28.95,120.1,9,91.2,4,73.1,35,-24,-7.47,-4.7
2026,1190,Lehigh,16,0,306,-11.26,97.2,322,108.5,270,71.6,123,22,0.89,-4.7
2026,1189,LIU Brooklyn,16,0,287,-9.03,96.8,329,105.8,191,70.6,219,71,5.08,-2.8
2026,1188,Louisville,6,0,14,24.13,120.6,5,96.4,38,73,38,-5,1.3,-3.3
2026,1187,McNeese St.,12,0,101,7.08,107.6,106,100.6,98,70.6,227,33,5.4,-4.4
2026,1186,Miami FL,7,0,76,10.88,110.1,78,99.2,77,71.1,163,45,9.8,-3.6
2026,1185,Miami OH,11,0,127,2.09,106.3,125,104.2,146,71.9,106,34,6.17,-2
2026,1184,Michigan,1,0,11,24.63,116.6,20,92,8,72.5,64,8,12.97,-1.5
2026,1183,Michigan St.,3,0,25,20.71,114.3,37,93.6,15,70.6,216,16,7.6,-4.6
2026,1182,Missouri,10,0,28,20.14,117.9,14,97.8,54,71.5,128,-24,-4.75,-5.4
2026,1181,Nebraska,4,0,51,15.21,114.2,39,99,69,71.8,111,37,10.95,-5
2026,1180,North Carolina,6,0,33,19.24,116.1,25,96.9,45,73.4,26,4,1.6,-5.5
2026,1179,North Carolina St.,11,0,38,18.56,114.7,34,96.2,36,70.2,253,4,1.04,-1.2
2026,1178,North Dakota St.,14,0,215,-4.71,104.3,162,109,282,69.3,309,102,9.84,-3
2026,1177,Northern Iowa,12,0,116,4.24,106.8,113,102.6,122,69.9,275,44,7.57,-7.6
2026,1176,Ohio St.,8,0,27,20.33,118.3,13,98,58,70.8,195,1,1.91,-4.8
2026,1175,Penn,14,0,278,-8.52,103.4,176,111.9,341,72.6,54,128,9.99,-3.6
2026,1174,Prairie View A&M,16,0,326,-13.11,95.6,346,108.7,275,73.1,34,38,2.41,-2.2
2026,1173,Purdue,2,0,3,29.15,124.5,1,95.4,29,69.4,308,-5,2.05,-5
2026,1172,Queens,15,0,219,-4.98,104.8,154,109.8,302,72.6,57,38,3.54,-3
2026,1171,Saint Louis,9,0,65,12.45,111.1,68,98.7,64,71.9,105,24,5.87,-0.9
2026,1170,Saint Mary's,7,0,55,14.66,111.2,65,96.5,39,66.4,364,31,8.41,-1.3
2026,1169,Santa Clara,10,0,105,6.11,108.8,93,102.7,123,72.5,61,70,13.29,-3.4
2026,1168,Siena,16,0,208,-4.41,102.7,197,107.1,227,71,185,16,2.32,-6.3
2026,1167,SMU,11,0,43,17.4,115,30,97.6,51,71.7,112,1,0.69,-3.2
2026,1166,South Florida,11,0,104,6.56,107.5,109,100.9,102,72.4,69,57,9.83,-0.9
