YEAR,TEAM NO,TEAM,SEED,ROUND,RPPF PRESEASON RANK,PRESEASON RPPF RATING,RPPF RATING CHANGE RANK,RPPF RATING CHANGE,RPPF RATING RANK CHANGE RANK
2026,1215,Akron,12,0,94,0.7715,95,-0.0001,27
2026,1214,Alabama,4,0,20,0.9112,134,-0.0268,3
2026,1213,Arizona,1,0,13,0.9304,48,0.0463,10
2026,1212,Arkansas,4,0,19,0.9117,137,-0.0281,1
2026,1211,BYU,6,0,9,0.9356,229,-0.0798,-13
2026,1210,Cal Baptist,13,0,189,0.6095,24,0.087,83
2026,1209,Clemson,8,0,47,0.8565,124,-0.0186,17
2026,1208,Connecticut,2,0,7,0.9378,158,-0.0398,-4
2026,1207,Duke,1,0,4,0.9591,64,0.0178,2
2026,1206,Florida,1,0,1,0.9704,139,-0.0284,-3
2026,1205,Furman,15,0,148,0.6703,255,-0.0956,-42
2026,1204,Georgia,8,0,35,0.8788,151,-0.0347,8
2026,1203,Gonzaga,3,0,17,0.9133,112,-0.0123,7
2026,1202,Hawaii,13,0,118,0.7178,130,-0.0229,10
2026,1201,High Point,12,0,111,0.7448,147,-0.0326,14
2026,1200,Hofstra,13,0,252,0.541,4,0.1757,156
2026,1199,Houston,2,0,2,0.9667,178,-0.0507,-5
2026,1198,Howard,16,0,346,0.3876,8,0.144,125
2026,1197,Idaho,15,0,182,0.6168,55,0.0314,50
2026,1196,Illinois,3,0,5,0.9539,140,-0.0285,0
2026,1195,Iowa,9,0,43,0.867,120,-0.018,18
2026,1194,Iowa St.,2,0,15,0.9185,84,0.0068,9
2026,1193,Kansas,4,0,16,0.9134,198,-0.0606,-7
2026,1192,Kennesaw St.,14,0,122,0.7129,268,-0.107,-41
2026,1191,Kentucky,7,0,8,0.9376,269,-0.1076,-28
2026,1190,Lehigh,16,0,277,0.5084,256,-0.0975,-26
2026,1189,LIU Brooklyn,16,0,273,0.5105,110,-0.0108,34
2026,1188,Louisville,6,0,11,0.9323,170,-0.0462,-3
2026,1187,McNeese St.,12,0,103,0.7594,103,-0.0055,28
