YEAR,TEAM NO,TEAM,SEED,ROUND,RPPF RATING RANK,RPPF RATING,NPB RATING RANK,NPB RATING,RADJ O RANK,RADJ O,RADJ D RANK,RADJ D,RADJ EM RANK,RADJ EM,R PACE RANK,R PACE,R SOS RANK,R SOS,STROE RANK,STROE,STRDE RANK,STRDE,STRT+ RANK,STREM RANK,STREM,STREM RANK 2
2026,1215,Akron,12,0,67,0.7714,60,0.8444,56,118.4,112,106.1,69,12.3,32,70,220,0.5558,41,100.55,73,97.74,66,67,2.81,49
2026,1214,Alabama,4,0,17,0.8844,15,0.9126,3,130.2,74,103.7,17,26.5,3,72.7,3,0.7928,1,124.17,28,89.47,19,23,34.7,4
2026,1213,Arizona,1,0,3,0.9767,2,0.9859,5,128.8,3,90.2,2,38.6,52,69.6,16,0.7556,3,116.36,2,75.06,1,2,41.3,1
2026,1212,Arkansas,4,0,18,0.8836,16,0.9117,4,129.3,55,102.3,14,27,20,70.7,8,0.7689,2,118.01,31,89.8,17,18,28.21,6
2026,1211,BYU,6,0,22,0.8558,31,0.8815,11,126.4,60,102.6,23,23.8,44,69.7,10,0.7632,10,110.88,41,93.21,28,26,17.67,14
2026,1210,Cal Baptist,13,0,106,0.6965,86,0.8132,195,107.5,43,101.6,107,5.9,265,65.9,212,0.561,209,78.56,63,96.92,81,105,-18.36,127
2026,1209,Clemson,8,0,30,0.8379,29,0.8843,71,116.5,19,96.9,36,19.6,333,64.4,58,0.7184,100,88.87,37,92.68,31,33,-3.81,63
2026,1208,Connecticut,2,0,11,0.898,13,0.9183,29,122,10,93.9,12,28.1,323,64.6,39,0.7392,49,98.3,15,87.1,11,10,11.2,27
2026,1207,Duke,1,0,2,0.9769,3,0.9802,6,128.5,1,88.6,1,39.9,286,65.5,13,0.7567,11,109.86,4,78.49,3,1,31.37,5
2026,1206,Florida,1,0,4,0.942,4,0.9487,9,126.7,6,91.9,4,34.8,26,70.3,7,0.7744,6,114.19,3,76.22,4,8,37.97,3
2026,1205,Furman,15,0,190,0.5747,206,0.6756,204,107.1,169,109.4,187,-2.3,260,66,294,0.4955,232,76.77,212,110.13,202,191,-33.36,228
2026,1204,Georgia,8,0,27,0.8441,27,0.8846,12,125.4,86,104.5,32,20.9,16,71.1,70,0.7118,5,114.23,34,92.15,31,36,22.08,10
2026,1203,Gonzaga,3,0,10,0.901,10,0.9264,30,121.9,8,93.5,10,28.4,107,68.5,89,0.6748,24,104.78,7,81.4,7,12,23.38,9
2026,1202,Hawaii,13,0,108,0.6949,107,0.7859,198,107.4,53,102,110,5.4,59,69.5,230,0.5465,147,82.96,26,89.34,64,110,-6.38,80
2026,1201,High Point,12,0,97,0.7122,100,0.7956,68,117,151,108.7,90,8.3,44,69.7,327,0.4655,54,97.18,120,102.05,103,92,-4.87,67
2026,1200,Hofstra,13,0,96,0.7167,56,0.8459,93,114,82,104.3,86,9.7,313,64.9,194,0.5685,122,85.75,154,105.05,114,84,-19.3,130
2026,1199,Houston,2,0,7,0.916,9,0.9273,15,125,4,90.8,5,34.2,348,63.6,20,0.7525,37,101.18,11,84.65,6,4,16.53,15
2026,1198,Howard,16,0,221,0.5316,177,0.7066,276,103.3,121,106.7,202,-3.4,90,68.8,365,0.3904,265,73.58,106,101.12,152,205,-27.54,185
2026,1197,Idaho,15,0,132,0.6482,124,0.7661,178,108.4,133,107.3,149,1.1,151,67.7,209,0.5618,163,82.02,125,102.5,132,145,-20.48,138
2026,1196,Illinois,3,0,5,0.9254,6,0.9382,2,132,27,99,7,33,277,65.6,14,0.7564,7,113.97,45,94.3,18,5,19.67,13
2026,1195,Iowa,9,0,25,0.849,25,0.8917,33,121.7,27,99,26,22.7,356,63.3,61,0.7171,69,93.95,83,98.89,45,21,-4.94,68
2026,1194,Iowa St.,2,0,6,0.9253,5,0.9459,22,124.2,5,90.9,6,33.3,224,66.6,50,0.7271,25,104.54,5,80.53,5,7,24.01,8
2026,1193,Kansas,4,0,23,0.8528,30,0.8842,54,118.7,12,94.1,22,24.6,161,67.6,2,0.7936,61,95.52,10,84.02,13,19,11.5,26
