YEAR,TEAM NO,TEAM,SEED,ROUND,NET,KPI,SOR,WAB RANK,RESUME AVG,RESUME AVG RANK,BPI,KP,SAG,TRK,QUALITY AVG,QUALITY AVG RANK,Q1A W,Q1A L,Q1 W,Q1 L,Q2 W,Q2 L,Q1&2 W,Q1&2 L,Q3 W,Q3 L,Q4 W,Q4 L
2026,1215,Akron,12,0,54,63,52,53,56,57,77,64,,71,70.7,69,0,1,0,2,0,2,0,4,11,1,16,0
2026,1214,Alabama,4,0,18,12,15,14,13.7,14,15,17,,18,16.7,18,4,6,7,7,9,2,16,9,5,0,2,0
2026,1213,Arizona,1,0,3,3,1,3,2.3,3,3,3,,3,3,3,9,1,16,2,8,0,24,2,1,0,7,0
2026,1212,Arkansas,4,0,17,19,10,15,14.7,15,19,18,,20,19,20,3,7,8,8,8,0,16,8,4,0,6,0
2026,1211,BYU,6,0,23,22,24,22,22.7,22,18,23,,33,24.7,23,2,7,7,10,8,1,15,11,3,0,5,0
2026,1210,Cal Baptist,13,0,98,83,86,76,81.7,81,137,106,,96,113,111,0,1,0,1,2,4,2,5,6,3,17,0
2026,1209,Clemson,8,0,34,31,32,29,30.7,30,29,36,,30,31.7,31,1,5,6,6,7,4,13,10,4,0,7,0
2026,1208,Connecticut,2,0,10,6,4,6,5.3,6,10,12,,9,10.3,10,6,3,7,3,11,1,18,4,6,1,5,0
2026,1207,Duke,1,0,1,2,3,2,2.3,3,1,1,,1,1,1,9,2,17,2,6,0,23,2,2,0,7,0
2026,1206,Florida,1,0,4,4,5,5,4.7,4,5,4,,4,4.3,4,3,4,12,6,6,1,18,7,3,0,5,0
2026,1205,Furman,15,0,186,167,158,165,163.3,163,159,190,,195,181.3,184,0,0,0,1,0,2,0,3,5,5,14,4
2026,1204,Georgia,8,0,33,37,31,34,34,33,33,32,,37,34,32,1,3,6,7,6,2,12,9,1,1,9,0
2026,1203,Gonzaga,3,0,6,17,11,17,15,17,8,10,,11,9.7,9,2,2,7,2,4,0,11,2,11,1,8,0
2026,1202,Hawaii,13,0,101,108,104,95,102.3,100,122,107,,116,115,113,0,0,0,0,0,4,0,4,8,2,14,2
2026,1201,High Point,12,0,76,96,67,71,78,76,63,92,,93,82.7,85,0,0,0,0,0,2,0,2,5,2,22,0
2026,1200,Hofstra,13,0,88,79,102,102,94.3,94,102,88,,91,93.7,93,0,0,0,1,2,2,2,3,10,4,10,3
2026,1199,Houston,2,0,5,5,6,4,5,5,4,5,,5,4.7,5,5,6,10,6,9,0,19,6,3,0,6,0
2026,1198,Howard,16,0,203,238,182,132,184,184,204,207,,206,205.7,208,0,1,0,2,1,2,1,4,1,0,17,6
2026,1197,Idaho,15,0,144,231,202,198,210.3,200,172,145,,136,151,150,0,0,0,0,0,3,0,3,9,8,9,3
2026,1196,Illinois,3,0,8,18,17,18,17.7,18,7,7,,6,6.7,7,5,7,7,8,5,0,12,8,7,0,5,0
2026,1195,Iowa,9,0,27,51,39,38,42.7,42,31,25,,26,27.3,28,1,8,4,9,5,1,9,10,6,2,6,0
2026,1194,Iowa St.,2,0,7,14,14,10,12.7,11,6,6,,7,6.3,6,4,5,8,7,10,0,18,7,2,0,7,0
2026,1193,Kansas,4,0,21,11,18,16,15,17,21,21,,22,21.3,21,6,6,9,9,7,1,16,10,4,0,3,0
2026,1192,Kennesaw St.,14,0,155,156,148,160,154.7,153,125,163,,145,144.3,144,0,1,0,1,0,3,0,4,5,5,13,4
2026,1191,Kentucky,7,0,28,34,27,26,29,29,23,28,,31,27.3,28,4,9,5,11,7,2,12,13,3,0,6,0
2026,1190,Lehigh,16,0,275,275,295,243,271,266,288,284,,283,285,284,0,1,0,2,0,1,0,3,1,5,15,8
2026,1189,LIU Brooklyn,16,0,198,204,142,122,156,155,217,216,,235,222.7,222,0,2,0,2,0,2,0,4,1,3,23,3
2026,1188,Louisville,6,0,16,26,26,24,25.3,24,11,19,,17,15.7,16,1,8,8,10,4,0,12,10,4,0,7,0
2026,1187,McNeese St.,12,0,56,81,46,48,58.3,62,60,68,,73,67,66,0,2,0,2,2,2,2,4,8,0,16,1
2026,1186,Miami FL,7,0,32,32,25,25,27.3,26,40,31,,35,35.3,34,3,5,6,6,6,2,12,8,3,0,10,0
2026,1185,Miami OH,11,0,64,53,28,37,39.3,39,93,93,,86,90.7,89,0,0,0,0,3,0,3,0,10,0,15,1
2026,1184,Michigan,1,0,2,1,2,1,1.3,1,2,2,,2,2,2,10,2,16,3,6,0,22,3,6,0,3,0
2026,1183,Michigan St.,3,0,11,13,13,11,12.3,10,13,9,,12,11.3,11,3,5,9,6,5,1,14,7,7,0,4,0
2026,1182,Missouri,10,0,58,50,40,41,43.7,43,44,52,,46,47.3,48,3,4,5,7,4,5,9,12,3,0,8,0
2026,1181,Nebraska,4,0,14,20,9,12,13.7,14,17,14,,19,16.7,18,3,6,9,6,6,0,15,6,5,0,6,0
2026,1180,North Carolina,6,0,24,16,21,21,19.3,20,30,29,,27,28.7,29,3,5,6,8,5,0,11,8,8,0,5,0
2026,1179,North Carolina St.,11,0,36,33,45,43,40.3,40,37,34,,38,36.3,36,2,6,5,8,6,4,11,12,5,0,4,1
2026,1178,North Dakota St.,14,0,114,129,98,92,106.3,104,133,113,,114,120,121,0,0,0,0,0,1,0,1,5,4,19,2
2026,1177,Northern Iowa,12,0,72,77,105,99,93.7,93,82,71,,70,74.3,75,0,1,0,2,4,5,4,7,7,5,11,0
2026,1176,Ohio St.,8,0,29,42,33,32,35.7,35,26,26,,23,25,25,1,10,4,11,5,1,9,12,6,0,6,0
2026,1175,Penn,14,0,148,121,124,125,123.3,121,167,159,,147,157.7,157,0,0,0,2,1,4,1,6,6,3,10,2
2026,1174,Prairie View A&M,16,0,300,306,325,257,296,304,297,288,,281,288.7,290,0,0,0,3,0,2,0,5,0,1,14,11
2026,1173,Purdue,2,0,9,9,12,7,9.3,9,9,8,,8,8.3,8,7,6,11,8,6,0,17,8,7,0,3,0
2026,1172,Queens,15,0,189,172,143,138,151,147,193,181,,198,190.7,188,0,4,0,5,0,2,0,7,2,2,18,4
2026,1171,Saint Louis,9,0,30,29,38,42,36.3,36,35,41,,43,39.7,41,0,0,2,1,6,3,8,4,6,1,13,0
2026,1170,Saint Mary's,7,0,22,24,29,31,28,27,27,24,,24,25,25,1,3,1,4,8,1,9,5,10,0,7,0
2026,1169,Santa Clara,10,0,40,38,41,36,38.3,38,49,35,,28,37.3,38,1,4,2,6,6,1,8,7,10,0,7,1
2026,1168,Siena,16,0,183,140,159,155,151.3,148,196,192,,186,191.3,190,0,0,0,1,0,0,0,1,2,6,21,4
2026,1167,SMU,11,0,37,41,49,45,45,45,42,42,,42,42,44,0,6,4,9,5,4,9,13,5,0,6,0
