YEAR,BY YEAR NO,TEAM NO,TEAM,SEED,ROUND,CURRENT ROUND,COLLEGE CITY,COLLEGE STATE,COLLEGE LOCATION,COLLEGE TIME ZONE,COLLEGE TIME ZONE VALUE,COLLEGE DAYLIGHT SAVINGS TIME,COLLEGE LATITUDE,COLLEGE LONGITUDE,GAME CITY,GAME STATE,GAME LOCATION,GAME TIME ZONE,GAME TIME ZONE VALUE,GAME DAYLIGHT SAVINGS TIME,GAME LATITUDE,GAME LONGITUDE,TIME ZONE COMBINATION,DIRECTION,LATITUDE DIFF,LONGITUDE DIFF,TIME ZONES CROSSED,TIME ZONES CROSSED VALUE,DISTANCE (KM),DISTANCE (MI)
2025,2140,1141,Auburn,1,4,64,Auburn,Alabama,Auburn Alabama ,Central,5,TRUE,32.6098566,-85.4807825,Lexington,Kentucky,Lexington Kentucky ,Eastern,6,TRUE,38.0405837,-84.5037164,Central Eastern,East,5.4307271,0.9770661,1,1,610.3282918,379.2404183
2025,2139,1145,Alabama St.,16,64,64,Montgomery,Alabama,Montgomery Alabama,Central,5,TRUE,32.361668,-86.279167,Lexington,Kentucky,Lexington Kentucky ,Eastern,6,TRUE,38.0405837,-84.5037164,Central Eastern,East,5.6789157,1.7754506,1,1,651.70561,404.9510919
2025,2138,1119,Louisville,8,64,64,Louisville,Kentucky,Louisville Kentucky ,Eastern,6,TRUE,38.2526647,-85.7584557,Lexington,Kentucky,Lexington Kentucky ,Eastern,6,TRUE,38.0405837,-84.5037164,Eastern Eastern,East,-0.212081,1.2547393,0,0,112.2282043,69.73537314
2025,2137,1134,Creighton,9,32,64,Omaha,Nebraska,Omaha Nebraska ,Central,5,TRUE,41.2565369,-95.9345034,Lexington,Kentucky,Lexington Kentucky ,Eastern,6,TRUE,38.0405837,-84.5037164,Central Eastern,East,-3.2159532,11.430787,1,1,1040.964114,646.8251128
2025,2136,1114,Michigan,5,16,64,Ann Arbor,Michigan,Ann Arbor Michigan ,Eastern,6,TRUE,42.2808256,-83.7430378,Denver,Colorado,Denver Colorado ,Mountain,4,TRUE,39.7392358,-104.990251,Eastern Mountain,West,-2.5415898,-21.2472132,2,-2,1800.205028,1118.595545
2025,2135,1089,UC San Diego,12,64,64,La Jolla,California,La Jolla California,Pacific,3,TRUE,32.842674,-117.257767,Denver,Colorado,Denver Colorado ,Mountain,4,TRUE,39.7392358,-104.990251,Pacific Mountain,East,6.8965618,12.267516,1,1,1338.466738,831.6846728
2025,2134,1092,Texas A&M,4,32,64,College Station,Texas,College Station Texas ,Central,5,TRUE,30.627977,-96.3344068,Denver,Colorado,Denver Colorado ,Mountain,4,TRUE,39.7392358,-104.990251,Central Mountain,West,9.1112588,-8.6558442,1,-1,1281.247703,796.130413
2025,2133,1080,Yale,13,64,64,New Haven,Connecticut,New Haven Connecticut ,Eastern,6,TRUE,41.308274,-72.9278835,Denver,Colorado,Denver Colorado ,Mountain,4,TRUE,39.7392358,-104.990251,Eastern Mountain,West,-1.5690382,-32.0623675,2,-2,2700.212237,1677.834097
2025,2132,1112,Mississippi,6,16,64,Oxford,Mississippi,Oxford Mississippi ,Central,5,TRUE,34.3659868,-89.5188246,Milwaukee,Wisconsin,Milwaukee Wisconsin ,Central,5,TRUE,43.0389025,-87.9064736,Central Central,East,8.6729157,1.612351,0,0,974.4244878,605.4793057
2025,2131,1104,North Carolina,11,64,64,Chapel Hill,North Carolina,Chapel Hill North Carolina ,Eastern,6,TRUE,35.9131996,-79.0558445,Milwaukee,Wisconsin,Milwaukee Wisconsin ,Central,5,TRUE,43.0389025,-87.9064736,Eastern Central,West,7.1257029,-8.8506291,1,-1,1096.427402,681.2884021
2025,2130,1124,Iowa St.,3,32,64,Ames,Iowa,Ames Iowa ,Central,5,TRUE,42.0307812,-93.6319131,Milwaukee,Wisconsin,Milwaukee Wisconsin ,Central,5,TRUE,43.0389025,-87.9064736,Central Central,East,1.0081213,5.7254395,0,0,482.2181664,299.636477
2025,2129,1120,Lipscomb,14,64,64,Nashville,Tennessee,Nashville Tennessee ,Central,5,TRUE,36.1626638,-86.7816016,Milwaukee,Wisconsin,Milwaukee Wisconsin ,Central,5,TRUE,43.0389025,-87.9064736,Central Central,West,6.8762387,-1.124872,0,0,770.6305429,478.8476192
2025,2128,1118,Marquette,7,64,64,Milwaukee,Wisconsin,Milwaukee Wisconsin ,Central,5,TRUE,43.0389025,-87.9064736,Cleveland,Ohio,Cleveland Ohio ,Eastern,6,TRUE,41.49932,-81.6943605,Central Eastern,East,-1.5395825,6.2121131,1,1,538.902557,334.8585244
