Z RATING RANK,CHAMPION,RUNNER UP,FINAL 4,ELITE 8,SWEET 16,SECOND ROUND,FIRST ROUND,TYPE
1,8,0,2,0,0,0,0,OLD
2,0,2,2,1,2,2,1,OLD
3,1,1,0,2,3,2,1,OLD
4,1,1,1,2,3,2,0,OLD
5,0,1,0,2,4,2,1,OLD
6,0,0,2,3,1,3,1,OLD
7,0,0,3,2,3,1,1,OLD
8,0,0,0,2,3,2,3,OLD
9,0,1,0,1,5,1,2,OLD
10,0,0,0,2,1,4,3,OLD
11,0,0,0,1,2,5,2,OLD
12,0,0,0,1,0,6,3,OLD
13,0,0,0,2,4,3,1,OLD
14,0,0,1,2,2,3,2,OLD
15,0,1,0,1,3,2,3,OLD
16,0,0,0,0,2,3,5,OLD
17,0,0,1,0,3,2,4,OLD
18,0,0,0,2,1,6,1,OLD
19,0,0,0,0,3,4,3,OLD
20,0,0,0,0,2,1,7,OLD
21,0,0,0,1,1,3,5,OLD
22,0,0,0,2,2,4,2,OLD
23,0,0,0,1,1,4,4,OLD
24,0,2,1,0,6,1,0,OLD
25,0,0,0,1,2,3,4,OLD
26,0,0,0,1,1,4,4,OLD
27,0,0,0,0,0,5,5,OLD
28,0,0,0,0,2,3,5,OLD
29,0,1,1,0,1,3,4,OLD
30,0,0,0,0,1,3,6,OLD
31,0,0,0,1,4,1,4,OLD
32,0,0,0,1,0,3,6,OLD
33,0,0,0,0,0,6,4,OLD
34,0,0,0,1,1,1,7,OLD
35,0,0,1,1,1,3,4,OLD
36,0,0,1,0,0,4,5,OLD
37,0,0,0,0,0,3,7,OLD
38,0,0,2,0,1,0,7,OLD
39,0,0,1,2,1,3,3,OLD
40,0,0,0,0,2,2,6,OLD
41,0,0,0,1,0,5,4,OLD
42,0,0,0,0,2,5,3,OLD
43,0,0,0,0,1,4,5,OLD
44,0,0,0,0,0,3,7,OLD
45,0,0,0,0,0,4,6,OLD
46,0,0,0,0,0,3,7,OLD
47,0,0,1,0,0,5,4,OLD
48,0,0,0,0,0,1,9,OLD
49,0,0,0,0,0,1,9,OLD
50,0,0,0,0,1,1,8,OLD
51,0,0,0,0,0,3,7,OLD
52,0,0,0,0,0,3,7,OLD
53,0,0,0,0,0,2,8,OLD
54,0,0,0,0,0,1,9,OLD
55,0,0,0,0,0,0,10,OLD
56,0,0,0,1,0,1,8,OLD
57,0,0,0,0,0,1,9,OLD
58,0,0,0,0,0,0,10,OLD
59,0,0,0,0,2,0,8,OLD
60,0,0,0,0,0,1,9,OLD
61,0,0,0,0,0,0,10,OLD
62,0,0,0,0,0,0,10,OLD
63,0,0,0,0,0,1,9,OLD
64,0,0,0,0,0,0,10,OLD
65,0,0,0,0,0,1,9,OLD
66,0,0,0,0,0,1,9,OLD
67,0,0,0,0,0,0,10,OLD
68,0,0,0,0,0,0,10,OLD
1,10,0,0,0,0,0,0,NEW
2,0,3,1,0,3,3,0,NEW
3,0,1,1,3,1,3,1,NEW
4,0,1,2,2,3,0,2,NEW
5,0,0,1,1,5,3,0,NEW
6,0,0,1,2,2,2,3,NEW
7,0,1,1,1,3,3,1,NEW
8,0,0,1,2,3,4,0,NEW
9,0,0,0,2,3,2,3,NEW
10,0,0,0,3,2,1,4,NEW
11,0,0,0,2,2,5,1,NEW
12,0,1,1,5,0,2,1,NEW
13,0,0,0,0,5,4,1,NEW
14,0,0,1,1,3,2,3,NEW
15,0,0,0,0,2,4,4,NEW
16,0,0,0,1,1,3,5,NEW
17,0,0,0,1,2,2,5,NEW
18,0,1,0,0,3,4,2,NEW
19,0,0,1,1,1,4,3,NEW
20,0,0,1,1,1,5,2,NEW
21,0,0,0,0,3,2,5,NEW
22,0,0,0,0,3,3,4,NEW
23,0,0,0,0,2,3,5,NEW
24,0,1,1,1,3,0,4,NEW
25,0,0,1,0,0,3,6,NEW
26,0,1,0,1,2,3,3,NEW
27,0,0,0,0,0,5,5,NEW
28,0,0,0,1,2,3,4,NEW
29,0,0,0,0,2,1,7,NEW
30,0,0,0,1,3,4,2,NEW
31,0,0,0,1,0,5,4,NEW
32,0,0,1,1,1,4,3,NEW
33,0,0,1,0,1,3,5,NEW
34,0,0,0,2,2,1,5,NEW
35,0,0,1,0,1,2,6,NEW
36,0,0,0,0,0,4,6,NEW
37,0,0,1,0,0,4,5,NEW
38,0,0,0,0,1,2,7,NEW
39,0,0,0,0,1,2,7,NEW
40,0,0,0,0,3,4,3,NEW
41,0,0,1,1,0,2,6,NEW
42,0,0,0,0,0,2,8,NEW
43,0,0,0,0,1,3,6,NEW
44,0,0,0,1,0,2,7,NEW
45,0,0,1,0,0,6,3,NEW
46,0,0,0,0,1,3,6,NEW
47,0,0,0,0,1,2,7,NEW
48,0,0,0,0,0,4,6,NEW
49,0,0,0,0,0,4,6,NEW
50,0,0,0,1,0,3,6,NEW
51,0,0,0,0,0,5,5,NEW
52,0,0,0,1,0,1,8,NEW
53,0,0,0,0,0,0,10,NEW
54,0,0,0,0,0,0,10,NEW
55,0,0,0,0,0,2,8,NEW
56,0,0,0,0,0,1,9,NEW
57,0,0,0,0,0,1,9,NEW
58,0,0,0,0,0,2,8,NEW
59,0,0,0,0,1,0,9,NEW
60,0,0,0,0,0,1,9,NEW
61,0,0,0,0,0,0,10,NEW
62,0,0,0,0,0,0,10,NEW
63,0,0,0,0,0,0,10,NEW
64,0,0,0,0,1,0,9,NEW
65,0,0,0,0,0,0,10,NEW
66,0,0,0,0,0,1,9,NEW
67,0,0,0,0,0,1,9,NEW
68,0,0,0,0,0,0,10,NEW
